"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b0d08a51-94eb-482c-bc6f-30b84cfb01f7","","work-in-progress","","folder","TRUE","FALSE","ZONE 3"
"bb71c109-fcf5-446f-9a8c-1a33a6a22178","","work-in-progress","","folder","TRUE","FALSE","ZONE 3","GF"
"c4012be5-6bd6-42e5-901c-d090828ae41a","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-08"
"9a6bfafc-536b-40ac-9b4b-59e888870db9","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-09"
"e8ce9de6-9394-4486-b2ea-d113cd3b93ab","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-10"
"98704025-19ae-4d6b-b89a-fc28be102a97","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-01"
"8e39111d-9296-4596-82cd-768c275817ed","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-02"
"5652e778-9863-4143-8029-520bb433060e","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-03"
"d9edc7b5-b45f-4a7b-b5e3-5d743f49ce5d","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-04"
"e6df7b5e-71e1-4092-b95e-9a047eb90ae9","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-05"
"2ac50817-e90b-4b17-8c62-167f8aafd183","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-06"
"f7d3edc8-a63b-4f20-9f0d-7f836c27ee43","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-07"
"89ccf241-b4d9-4f7b-b567-215275b70781","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","4A-J-08"
