"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cb881db-1c00-407d-898c-7d6432c74396","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"12012e26-b95c-42cb-8141-67cbc9c03db1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","HV1 Data Center"
"0a4142d9-5294-437c-9782-2991fded8299","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","HV1 Data Center","Ground Floor"
"40ca0e3f-35ac-4bc2-a769-39f4de6e6400","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P1"
"d2b87d81-5e46-58c0-abf2-7581ab29145b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P11","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"9cd86f24-edbc-43d4-abc9-2613faccf3ce","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P12"
"f2cefada-15a9-5e9b-a40f-c8ea9dccbe11","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P12","Precast unit placed and temp props/brackets installed per propping design"
"359b7196-d294-5cb4-8baf-aa6a1fdd4df6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P12","Precast unit set to gridline/RL"
"0ddb6c36-587c-5795-aff2-4a126f51b8d5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P12","Permanent brackets installed (where required)"
"b0cf9eaf-031b-52c7-9814-855f1f2a3767","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P12","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"0ee10e26-5264-44b1-9762-afb3adf87021","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P13"
"ded79211-2004-5c59-91a7-9b464694b7b4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P13","Precast unit placed and temp props/brackets installed per propping design"
"e365cf10-8d70-5f75-8906-0a5da25ee2d1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P13","Precast unit set to gridline/RL"
"26c55557-e0b7-5533-8bc1-a05f91f85f62","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P13","Permanent brackets installed (where required)"
"9ce753cf-99fd-5b89-b1e2-9194afc01a02","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P13","All associated works (grouting/brackets) are completed and props ready to be removed. Do not remove without consulting Built site manager."
"3f228b59-42e7-49d1-9227-a946b0d51512","","checklist-flat","work-in-progress","e9fae41b20a80b3024ca5d151daf61a49e2f1483d89044f4b428b2ffcf0438f7","checklist-flat","FALSE","FALSE","Site QA","HV1 Data Center","Ground Floor","P827-P14"
"ca3ea660-34a9-5b52-a49b-13ede33f125f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P14","Precast unit placed and temp props/brackets installed per propping design"
"7fe9b090-15b9-5bd3-87f4-53cabdf748e2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","HV1 Data Center","Ground Floor","P827-P14","Precast unit set to gridline/RL"
