"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status",,"","checkpoint","Reframe Wall"
"checkpoint-status",,"","checkpoint","Install Windows"
"checkpoint-status",,"","checkpoint","Airseal Around Windows"
"checkpoint-status",,"","checkpoint","Install Insulation"
"checkpoint-status",,"","checkpoint","Install Structural Plywood"
"checkpoint-status",,"","checkpoint","Install Skirtings"
"checkpoint-status",,"","checkpoint","Install Architraves"
"checkpoint-status",,"","checkpoint","Install Autex"

"checklist-flat",,"","checklist","Stage 3 - Rafter to Ridge","",,,1,"Yes","Stage 3 - Rafter to Ridge","814a5da2-edd7-4597-b873-d3f96d5c6ab1"
"checkpoint-status",,"","checkpoint","100 UC 15 Steel Frame"
"checkpoint-status",,"","checkpoint","M16 x2 Bolts"
"checkpoint-status",,"","checkpoint","10mm thick Tee Brackets"
"checkpoint-status",,"","checkpoint","100 x6 EA Between Rafters"
"checkpoint-status",,"","checkpoint","Double Timber Blocking up to Ridge"
"checkpoint-status",,"","checkpoint","CPC80 Each side of Rafters"
"checkpoint-status",,"","checkpoint","2x Lumberlok Multistraps"

"checklist-flat",,"","checklist","Northern Elevation","",,,3,"Yes","Northern Elevation","85d0e381-eb48-4d68-abe7-fd7906f64396"
"checkpoint-status",,"","checkpoint","Existing damaged weatherboard"
"checkpoint-status",,"","checkpoint","New replacement"
"checkpoint-status",,"","checkpoint","Paint"

"checklist-flat",,"","checklist","Lower Roof","",,,2,"Yes","Lower Roof","92c0ee06-cdc9-49d3-8ac5-eed59c311950"
"checkpoint-status",,"","checkpoint","Delap photos"
"checkpoint-status",,"","checkpoint","Clean Roof"
"checkpoint-status",,"","checkpoint","Remove existing cap flashings"
"checkpoint-status",,"","checkpoint","Install screws to substrate"
"checkpoint-status",,"","checkpoint","Install Trough Infill PIR"
"checkpoint-status",,"","checkpoint","New Vapour Barrier"
"checkpoint-status",,"","checkpoint","New 40mm PIR"
"checkpoint-status",,"","checkpoint","New Fibretite Membrane"
"checkpoint-status",,"","checkpoint","New Fascias"
"checkpoint-status",,"","checkpoint","Parapet flashing"
"checkpoint-status",,"","checkpoint","Gutters and Down pipies"

"checklist-flat",,"","checklist","Stage 3 - Plywood Brace Walls","",,,5,"Yes","Stage 3 - Plywood Brace Walls","94ab479d-5443-4a58-98e1-75f9c204e79f"
"checkpoint-status",,"","checkpoint","New Full Height Studs & Nogs"
"checkpoint-status",,"","checkpoint","New Bottom Plate Fixing @ 600 Centres"
"checkpoint-status",,"","checkpoint","Install Hold Down Brackets"
"checkpoint-status",,"","checkpoint","12G Timber Screws 125mm Long"
"checkpoint-status",,"","checkpoint","M12 Bolts into SHS Post"
"checkpoint-status",,"","checkpoint","New 12mm F8 Ply Bracing 125mm FH Nails"

"checklist-flat",,"","checklist","Fibretite Roof","",,,1,"Yes","Stage 4 - Fibretite Roof","9a4c08ae-0bf8-417e-b825-ef335c4662e1"
"checkpoint-status",,"","checkpoint","Frame membrane roof - 400 centres"
"checkpoint-status",,"","checkpoint","19mm Plywood install"
"checkpoint-status",,"","checkpoint","Vapour Barrier"
"checkpoint-status",,"","checkpoint","PIR Board"
"checkpoint-status",,"","checkpoint","Fibretite Membrane"
"checkpoint-status",,"","checkpoint","Membrane Upstands"
"checkpoint-status",,"","checkpoint","Diverters"
"checkpoint-status",,"","checkpoint","Box gutter"

"checklist-flat",,"","checklist","Easylap Cladding","",,,1,"Yes","Stage 4 - Easylap Cladding","a6c1c0df-8b50-4929-a035-2bb6425ec553"
"checkpoint-status",,"","checkpoint","RAB Board - Adhero Wrap"
"checkpoint-status",,"","checkpoint","Cavity Closer"
"checkpoint-status",,"","checkpoint","CLD Battens - 400 crs"
"checkpoint-status",,"","checkpoint","Easylap panels"
"checkpoint-status",,"","checkpoint","Painting Completed"

"checklist-flat",,"","checklist","Stage 3 - Library Interior - North, East & West","",,,3,"Yes","Stage 3 - Library Interior - North, East & West","b75c676f-e97a-4d72-873d-def549d7ea43"
"checkpoint-status",,"","checkpoint","Remove Windows"
"checkpoint-status",,"","checkpoint","Reframe Wall"
"checkpoint-status",,"","checkpoint","Install Windows"
"checkpoint-status",,"","checkpoint","Airseal Around Windows"
"checkpoint-status",,"","checkpoint","Install Insulation"
"checkpoint-status",,"","checkpoint","Install Structural Plywood"
"checkpoint-status",,"","checkpoint","Install Skirtings"
"checkpoint-status",,"","checkpoint","Install Architraves"
"checkpoint-status",,"","checkpoint","Install Autex"
"checkpoint-status",,"","checkpoint","Install Ceiling Flashing Trim"

"checklist-flat",,"","checklist","Windows - AJ003","",,,1,"Yes","Stage 4 - Windows - AJ003","b8f827f6-2511-4a63-949f-28619ee1ade6"
"checkpoint-status",,"","checkpoint","Remove Windows"
"checkpoint-status",,"","checkpoint","Re frame new opening sizes"
"checkpoint-status",,"","checkpoint","100m SHS"
"checkpoint-status",,"","checkpoint","Membrane dressed into sill"
"checkpoint-status",,"","checkpoint","Sill Flashing"
"checkpoint-status",,"","checkpoint","Flashing Tape"
"checkpoint-status",,"","checkpoint","Cavity Batten"
"checkpoint-status",,"","checkpoint","Window installed"
"checkpoint-status",,"","checkpoint","Window winders"

"checklist-flat",,"","checklist","Phase 3 Block M & L - Awning Roof","",,,2,"Yes","Phase 3 Block M & L - Awning Roof","bfbf2a7b-4f41-424c-8a4d-6525bba301bb"
"checkpoint-status",,"","checkpoint","Remove Existing Clearlite"
"checkpoint-status",,"","checkpoint","Install new Fibreglass Roofing"
"checkpoint-status",,"","checkpoint","Install closed cell profiled foam strip"
