"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc15698b-1959-4426-b5d0-a65ac5071cff","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B67","Extract Fan"
"9ea6d04a-e05e-463f-94b3-14035fa699d9","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B67","Kitchen Ext"
"9d0cbd0b-fab6-45ca-874c-78f114bcaf63","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B68"
"9a699cb4-ba81-4de4-b491-c61d97bce012","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B68","Split HW"
"9e05965a-69dd-4ebd-ab04-cf1d32cfd412","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B68","Extract Fan"
"6ed768c7-ec52-4ec3-9fca-42a12214c31a","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B68","Kitchen Ext"
"2ab72660-143b-45ce-b632-0eaef147e4b7","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B69"
"89f7f1c0-b9db-40c3-a577-bf3396a8e0bd","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B69","Split HW"
"c7c82a7c-ae8d-4fc7-8f7b-38ff4dbfc2c8","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B69","Extract Fan"
"9d9dd478-e705-4d96-a8ff-ab4dc71e89f4","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B69","Kitchen Ext"
"210a9af3-f347-4dd4-bccd-2178abe28e17","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B70"
"16a5b0cb-290a-46ee-8761-ba0a6c6d7572","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B70","Split HW"
"1e693fa1-4b0a-4d77-93cf-b9c7a70c1fea","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B70","Extract Fan"
"6256a635-37eb-4aab-9d9a-5b9c00770f36","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B70","Kitchen Ext"
"fefde887-ff24-4ece-868c-cead78c4b468","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B71"
"4b12fcb7-44b3-4196-835d-7947a95a2138","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B71","Split HW"
"f1804df5-8cbb-4706-a618-82469007da2a","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B71","Extract Fan"
"3cf44d3c-a1e1-44c3-bc96-15d7ff1526f3","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B71","Kitchen Ext"
"212a0b7b-4041-40b4-bdc1-b46cddbad424","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B72"
"9e1276c3-49dc-4ceb-96c2-7c441ec47192","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B72","Split HW"
"fa5be3f6-84f2-405d-8591-a7027193fd39","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B72","Extract Fan"
"5e47f277-07c6-4ccf-84bc-10839176e2e6","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B72","Kitchen Ext"
"0e0b249d-fc41-4c27-9cb7-c12b50e4b6af","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Corridors"
"8e06ddd0-911b-4777-8691-24bf3a675751","","pass","SA Fan","checklist","FALSE","FALSE","Site QA","Level 2","Corridors","SF 2.1"
