"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11575fbd-fb37-4101-95b2-5f94ee9db64f","","pass","","folder","TRUE","FALSE","B01"
"36dd4ee4-bf50-4489-a832-a86dff5633ac","","pass","","folder","TRUE","FALSE","B01","A/C"
"abc052bf-268a-4e86-8d42-81b80ca85d77","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level"
"98e0f203-c5d9-4d47-a0c6-cf45bab7cfdd","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.01 ALS Room"
"6e3ed0cd-ef42-4cb6-82fd-9b513a1fec22","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.08 ALS Room","Extract Fan"
"72b1c5d1-0833-405c-b70d-d659e0066237","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.09 ALS Room"
"183911fb-dbdf-478a-afaf-d95a46e74efb","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.09 ALS Room","VRV High Wall"
"bbf5cbbb-2d10-48b7-a379-c464b9b43a25","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.09 ALS Room","Extract Fan"
"25b81570-a4d7-425c-83f4-342fb6b09d40","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.10 ALS Room"
"a035f366-15de-4530-bb93-61950a128f3c","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.10 ALS Room","VRV High Wall"
"3532de46-02b4-44b3-9b24-8a0905e40c52","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.10 ALS Room","Extract Fan"
"27fa0849-e63b-4ed8-aa65-4f32d56e2865","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.11 ALS Room"
"26cefff0-0e48-4042-8eb8-f47493e39287","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.11 ALS Room","VRV High Wall"
"a48d6cb1-52b4-4777-8fd1-dd390ad84e17","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.11 ALS Room","Extract Fan"
"0f28d7b8-4c7e-4fe3-892b-648419e77a5a","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.12 Staff Room"
"d3acb067-0637-498b-a88e-c7d5c77cdcee","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.12 Staff Room","VRV High Wall"
"9bdf3741-49a0-4d11-a0ab-f2adb22d4f43","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.12 Staff Room","Extract Fan"
"1e3c6fbe-4873-4bb8-ac79-1b0e42121354","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.13 Care Room"
"2b2e86cd-c9a5-44fd-b0b1-aaa209dca7ba","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.13 Care Room","VRV High Wall"
"ccf0d76c-7236-4549-b921-bfda32feef8c","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.13 Care Room","Extract Fan"
"6b3494f3-e797-4431-a9a9-41777c51fff2","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.14 Care Room"
"698d060e-d5f1-4110-af20-06996758c37c","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.14 Care Room","VRV High Wall"
"47ed1d10-dac7-46d0-b7e7-5f3d02655270","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.14 Care Room","Extract Fan"
"e3e364ac-ac0d-4bd1-9624-bc78da67156e","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.15 Care Room"
"f10969a6-41ad-45ae-b9e0-5e380140871a","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.15 Care Room","VRV High Wall"
"9ccc201d-92e7-4b4c-9ab8-df74fbc36ff6","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.15 Care Room","Extract Fan"
"924b3afa-2dd7-4bbf-a3a9-82a72eadb729","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.16 Care Room"
"362657bd-e851-4343-808e-0b6b933bc2f4","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.16 Care Room","VRV High Wall"
"233b6b42-5ef2-4a22-af34-fbaa5e475f1d","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.16 Care Room","Extract Fan"
"2325f910-0a1c-4ea0-99bd-9da7d15fbcb4","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.17 Care Room"
"842d6cf6-1ad6-45cc-a821-9ee6c4e185dd","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.17 Care Room","VRV High Wall"
"3b028562-5488-4e60-9ae7-b023da122f27","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.17 Care Room","Extract Fan"
"d85c606f-33b3-40f9-87a1-37de708ec19e","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.18 Care Room"
"227fbd6b-15a0-4898-ae04-df4697a4bef8","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.18 Care Room","VRV High Wall"
"6130868d-7ff2-4bc0-80aa-3fa0d285ff73","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.18 Care Room","Extract Fan"
"9347f220-4671-4d0c-af9e-90985436d805","","pass","Split HW","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.19 Hub"
"45673017-2440-4dfd-a35e-0e45808a4ee7","","pass","Split HW","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.20 Treatment Room"
"fcd8e6ad-61ec-405d-94ad-8deb1b726235","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.21 Care Room"
"19a25929-3a20-421f-8972-aa2bc06c7f1b","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.21 Care Room","VRV High Wall"
"5d327218-9d3c-4b51-9268-c70dfa8654e3","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.21 Care Room","Extract Fan"
"ad806ea7-4615-40fc-903e-7f537c638450","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.22 Care Room"
"cd475263-4ff6-443f-bdab-9f3dca2fc17f","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.22 Care Room","VRV High Wall"
"a297e475-2e07-4896-b3ea-227233be6e21","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.22 Care Room","Extract Fan"
"74c10d5f-9630-4bf7-9334-19e241967caf","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.23 Care Room"
"dda0f2fa-fde2-4df2-bb0f-98995567a6ac","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.23 Care Room","VRV High Wall"
"e2c64e1c-0d83-4944-81c2-c3bb68305088","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.23 Care Room","Extract Fan"
"ad0b9520-44a2-424a-a64f-a1b0513d0914","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.24 Care Room"
"a9960309-4583-4cc4-aa62-bf5765978974","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.24 Care Room","VRV High Wall"
"6a19aa2d-7280-454c-a0ee-cf55bc350936","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.24 Care Room","Extract Fan"
"bc32987d-0502-4435-9889-f5aadd358b5b","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.25 Care Room"
"84d0e40b-6ddb-4c47-a452-ab99fe9d9b82","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.25 Care Room","VRV High Wall"
"1b9fc617-e42d-4b42-8581-0c11b4efeb25","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.25 Care Room","Extract Fan"
"d3d4d6dc-b496-4ba3-8907-16969ee5f6d8","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.26 Care Room"
"96469884-82e6-4281-8988-35250ec269e2","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.26 Care Room","VRV High Wall"
"de141e55-ea05-4f3b-98ad-06a792e81aec","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.26 Care Room","Extract Fan"
"29f57e17-77c8-4eeb-850f-9334eb64b6f1","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.27 Care Room"
"e1694c6d-c122-4ef8-b8c9-6983eabb067b","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.27 Care Room","VRV High Wall"
"89916e64-d874-4e94-88d5-c0c508471743","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.27 Care Room","Extract Fan"
"b1044023-fc6b-4214-bbba-db95017d168e","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.28 Care Room"
"ca94250b-ef98-4d05-a967-35ae098b05ee","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.28 Care Room","VRV High Wall"
"932c21b6-fb97-46d2-8e01-0f41b85b3b15","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.28 Care Room","Extract Fan"
"76df2255-9b21-424d-9d37-2359149fa3c5","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.30 Care Room"
"e87f8b3c-a410-409e-a0a2-9e46d58e2e08","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.30 Care Room","VRV High Wall"
"7b85ef6e-d045-4f22-b049-1601e396695d","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.30 Care Room","Extract Fan"
"da9a2b4c-68d8-4939-8a26-e357af0e6347","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.31 Care Room"
"e0bae62c-a003-4c9b-ad80-53a6318e4400","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.31 Care Room","VRV High Wall"
"b6a81088-1c16-43ab-8f46-4a28b85ed975","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.31 Care Room","Extract Fan"
"b0a72311-674e-412b-aab3-40f0a5cf4f8a","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.32 Care Room"
"09bdcd08-c776-46c7-ab7e-29b1e349cb2a","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.32 Care Room","VRV High Wall"
"2ecf74ba-4a58-4c3a-ae8b-1ffe80e29f0f","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.32 Care Room","Extract Fan"
"76feb6fe-53d2-40a7-b801-b85fb6ea6bb3","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.33 Care Room"
"cdb8428d-e1a1-434d-959c-25f5e5c9fd58","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.33 Care Room","VRV High Wall"
"abcddc9c-e790-40a5-a6c4-af9d6618b9be","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.33 Care Room","Extract Fan"
"f2e7e98b-e6bf-4b03-9ac3-3a30113f0988","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.34 Care Room"
"e6589749-d660-452a-819f-9a434754aea1","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.34 Care Room","VRV High Wall"
"9de85a32-d9bb-400d-a1f6-3df3fbca38ae","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.34 Care Room","Extract Fan"
"1c0a3555-085c-4401-bc49-21037af09f11","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.35 Care Room"
"7c3e16b8-9f83-4fd9-acb5-1ba8f2d8ca31","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.35 Care Room","VRV High Wall"
"f9bd34e0-8c9a-42ed-bea8-af36c033504b","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.35 Care Room","Extract Fan"
"2e044366-8482-45af-b230-7ad0a671989e","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.36 Care Room"
"bf4ee47a-e9a0-4ffb-a9eb-6eb9065db0ae","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.36 Care Room","VRV High Wall"
"dd3c5373-b56a-4c0b-970e-9b14196b1ca2","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.36 Care Room","Extract Fan"
"f9cb443f-0c02-4c33-9c64-2edb4cc5a771","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.37 Care Room"
"e0da13ba-e9fa-49c2-95a2-721100e3ea2c","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.37 Care Room","VRV High Wall"
"55d5afe1-2aa2-4113-9887-6197ab43660e","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.37 Care Room","Extract Fan"
"32564413-bc38-4a10-9a31-2665a408c2ac","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.38 Care Room"
"783fa36e-f4fc-4a2b-a6c2-22aabe06bb96","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.38 Care Room","VRV High Wall"
"bb25b300-f1b8-426a-a429-283bc7ecb699","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.38 Care Room","Extract Fan"
"0d346919-1b41-4951-a2ac-795a576c0a58","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.39 Care Room"
"6646818d-a099-43b5-a3a7-aa068bb2ae98","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.39 Care Room","VRV High Wall"
"a37c754c-65cd-4c7c-8e10-9a5302f7c567","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.39 Care Room","Extract Fan"
"13b1c910-2a43-4684-994c-6f8e842536a2","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.40 Care Room"
"f373e933-882a-4c9e-88be-5bf2009a8d87","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.40 Care Room","VRV High Wall"
"f1abd4c2-b25c-4890-b19d-1c9fabd5e177","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.40 Care Room","Extract Fan"
"67ff8a7a-8e2f-41ca-a278-4d2f89dbb366","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.41 Care Room"
"f873d73a-5660-4a79-b3a8-ef42c3cde00c","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.41 Care Room","VRV High Wall"
"73a463af-5be0-488d-b2b6-2ee5bb31ffcc","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.41 Care Room","Extract Fan"
"7fed62ee-e979-4262-a6d2-311a1570df6a","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.42 Care Room"
"2c0d829b-f1a9-420f-9a33-7e50653c29d3","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.42 Care Room","VRV High Wall"
"00311d56-35e7-4176-b749-15843e4473bc","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.42 Care Room","Extract Fan"
"2a040a3f-38cd-4b2c-817b-06be1ab3427d","","pass","VRV Cassette","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.43 Gym"
"87dc6d49-d65a-45a1-80c8-079ea5a3bfd2","","pass","Split HW","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.44 Managers Office"
"18708dc7-3a6a-4ec4-b0c3-9cec48c3859b","","pass","VRV Cassette","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.45 Office"
"0a6be3ac-efa0-4b42-8175-46aa3d354f1e","","pass","VRV Cassette","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.46 Reception"
"a33a11fe-8c90-4e0c-a4b2-963083d7ffe3","","pass","VRV Cassette","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.47 Reception"
"33257a6b-f9e7-4a01-85a5-e01b93ff7231","","pass","Split HW","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.48 Sales Office"
"7d5594a9-dc3b-4d13-9607-cc77341edb42","","pass","VRV Cassette","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.49 Meeting Room"
"f536a669-7b40-4f24-b219-96c3d746bba2","","pass","Split HW","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.50 Comms Room"
"f231520a-3b35-4acb-a25f-6706d20e2e5a","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.29 Care Room"
"5baf6f56-00ee-4556-8951-8838dc752c53","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.29 Care Room","VRV High Wall"
"8951fa83-2699-4b96-93b1-bd5e315a2a89","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.29 Care Room","Extract Fan"
"963e7660-34c0-4cc3-9d79-3929ca07b11f","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1"
"c57efa47-e542-4a38-8f61-8d576a7c226c","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.01 ALS Room"
"27774038-a5fd-4fa3-9d6b-06e70cb4a2fb","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.01 ALS Room","VRV High Wall"
"817b2ef0-8687-4365-aa17-e303f2c9bffb","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.01 ALS Room","Extract Fan"
"bf20da79-1bcc-4ff9-be85-41df5d08f4af","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.02 ALS Room"
"2f4cc743-b962-4b47-be26-98aea0733fbb","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.02 ALS Room","VRV High Wall"
"ddbf339f-6f47-4b2f-b345-cc3c07c6c9f8","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.02 ALS Room","Extract Fan"
"dc228684-3675-4797-891e-32a2417e37cb","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.03 ALS Room"
"30324cc3-34d8-4f18-a39d-f6594419effe","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.03 ALS Room","VRV High Wall"
"60c33f69-f49e-4269-aeac-2c8de808986a","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.03 ALS Room","Extract Fan"
"426d6563-7144-4f3a-aa3d-07a018b45a37","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.04 ALS Room"
"74648ab7-fa98-4080-9d14-94f6bd542548","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.04 ALS Room","VRV High Wall"
"9f15148d-55b8-491e-b461-d3ce8bdd2b62","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.04 ALS Room","Extract Fan"
"bc3edbb2-b82c-4e7d-bb24-489a3145428c","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.05 ALS Room"
"90a57ede-5359-4355-92a3-33baa994844a","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.05 ALS Room","VRV High Wall"
"fdc60aaa-9664-4146-b651-1a52f0e6118f","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.05 ALS Room","Extract Fan"
"7ad9c110-ca5e-4e59-864c-f3ac6b04ab5e","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.06 ALS Room"
"e420a99f-18ed-437a-a00c-8493c7990278","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.06 ALS Room","VRV High Wall"
"8504585a-70fb-4218-80de-797de8c01de2","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.06 ALS Room","Extract Fan"
"311b5520-b432-48ca-8f3b-1eca33807492","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.07 ALS Room"
"00768181-03a9-46cc-9f06-c95be346d024","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.07 ALS Room","VRV High Wall"
"30a0cde1-3b83-4387-b2be-6cda280a7963","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.07 ALS Room","Extract Fan"
"748abae4-0d80-4111-92a6-308799910e6f","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.08 ALS Room"
"ccc7d1ce-5836-4979-ab45-a4c6520bbd16","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.08 ALS Room","VRV High Wall"
"abd4a061-e847-404a-88bc-3d90ae101615","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.08 ALS Room","Extract Fan"
"641045a0-5d27-48eb-a11d-37b3f5e958b9","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.09 ALS Room"
"83e5a534-c7f8-47b5-8c13-5f52b2429f35","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.09 ALS Room","VRV High Wall"
"2cd9015c-68ea-4a21-9cb9-65f9d39c72cd","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.09 ALS Room","Extract Fan"
"288c2a7d-0a76-48d1-b7d7-c6f1bcc799ad","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.10 ALS Room"
"2c0021c2-4d44-43ad-8ac5-2fac9223b635","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.10 ALS Room","VRV High Wall"
"e921e5a5-4b05-4cdc-b5bb-7acb87f0f690","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Level 1","AC 1.10 ALS Room","Extract Fan"
"b84f3a92-7cb6-4894-bd24-63f946fe341d","","pass","","folder","TRUE","FALSE","B01","A/C","Level 1","AC 1.11 ALS Room"
