"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3430af0-41a4-4cfb-83a9-7ae6fbb33a7d","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0a9a72cc-0729-443c-ab4a-f3ad7c4d0f0e","","pass","","folder","TRUE","FALSE","Site QA","Area 1"
"adc5c9cd-205a-4fe9-968c-26afc1a4c12b","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1"
"3b9d4752-d20d-4529-91b0-6cdbf232a18e","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core"
"e90c0ac6-e212-57f0-a5f2-64120ae5b6e4","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Ceiling Framing"
"1e9c43db-b12c-56b2-b437-14ab3d9eb897","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Ceiling Lining"
"a811d2de-eda3-418f-9423-666b36137b9b","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2"
"4b1f1568-b260-41b2-be0f-daf549fdb35f","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 01, Core"
"24d6e1dd-56c4-57fe-8ff0-251132726e9d","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 01, Core","Partition Framing"
"dc588b4a-9fec-5619-8db6-81bb05773515","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 01, Core","Partition Lining"
"66d14291-256b-54e1-b483-8e13cc5e8f53","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 01, Core","Ceiling Framing"
"4c236357-82cd-56f1-8018-e30fc8a0d1d1","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 01, Core","Ceiling Lining"
"2fcc5e62-617e-4caa-9472-d72025ef5380","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 1 01, Core - Comms/Sec Room (1.022)"
"db38a143-5018-5796-a762-b433f937b8fc","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 1 01, Core - Comms/Sec Room (1.022)","Partition Framing"
"6b408b5b-6839-5393-8370-03db076c104f","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 1 01, Core - Comms/Sec Room (1.022)","Partition Lining"
"470a388e-7918-52c2-b0de-5f83ac650aae","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 1 01, Core - Comms/Sec Room (1.022)","Ceiling Framing"
"5acd40eb-f229-57ef-87bc-31e23866906f","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2","Level 1 01, Core - Comms/Sec Room (1.022)","Ceiling Lining"
"c6c19808-9072-4b86-a917-fb64cb87019c","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2"
"0f81d895-4245-4592-99b2-093f2c2fbb8c","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Ground Core"
"99a2af3f-8198-5650-8e90-2a1400358e19","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Ground Core","Partition Framing"
"b4938ccf-647d-5a90-87a0-78456f0d9b05","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Ground Core","Partition Lining"
"e32ced40-c12c-51e2-943b-b64600346263","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Ground Core","Ceiling Framing"
"ff164f86-64c4-5b6e-a4ae-aade36b1e431","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Ground Core","Ceiling Lining"
"051a9863-d1b8-43e2-b7a2-35e183ac29ab","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, Ground & Level 01"
"a01cc9b4-b7db-5814-88e5-74ca2bea979d","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, Ground & Level 01","Partition Framing"
"5d72becc-2339-5827-8bb2-cabd5ac4fbc8","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, Ground & Level 01","Partition Lining"
"2c74aed7-f5a5-5b2c-9283-d9691f8525d4","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, Ground & Level 01","Ceiling Framing"
"05527a3d-66d2-5ab9-b18e-f518df558835","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, Ground & Level 01","Ceiling Lining"
"ec83e4bd-0a4a-41cc-ab5c-0c0ae5e67b40","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 2, Ground & Level 01"
"d968c120-1029-5044-b9e8-42e11cf88257","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 2, Ground & Level 01","Partition Framing"
"0ff207ec-ebe5-5bf7-8b44-36cb1a7b7e29","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 2, Ground & Level 01","Partition Lining"
"0305e02d-9a4b-5579-977c-d167aa37372e","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 2, Ground & Level 01","Ceiling Framing"
"16d49d17-f155-517c-b9d7-d70069907731","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 2, Ground & Level 01","Ceiling Lining"
"a5849b07-78eb-4599-b11b-52cd3e602431","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, & Wing 2 - Service Area"
"bae82ac4-d299-5c6a-aafb-bf33f2d114c0","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, & Wing 2 - Service Area","Partition Framing"
"581b934d-2545-5926-b3cf-98284da7b558","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, & Wing 2 - Service Area","Partition Lining"
"4383af49-abe0-5941-92e5-34087db0563f","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, & Wing 2 - Service Area","Ceiling Framing"
"550d97cc-7e50-5086-9cc1-f8bf6229e701","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A02 - Accommodation Unit 2","Wing 1, & Wing 2 - Service Area","Ceiling Lining"
"d591296c-b22b-4006-a2a4-6c2f625a2a43","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3"
"8376b0a8-5b70-4ac7-ae02-7dafd3c7d8bb","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Ground Core"
"949d8e30-d21e-5bca-94fd-508000be0779","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Ground Core","Partition Framing"
"d6f31bfa-5806-5864-9f40-d75f09fe05cc","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Ground Core","Partition Lining"
"0f1766cd-61f9-5426-99d1-45963e33a8d1","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Ground Core","Ceiling Framing"
"8cc56199-aa61-5b1c-87c6-f4b3e2997cce","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Ground Core","Ceiling Lining"
"ed18824a-58fe-4073-b19b-d35225232163","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, Ground & Level 01"
"54aebea3-292a-5430-87eb-a79374ba67bd","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, Ground & Level 01","Partition Framing"
"eb4dad3c-5f83-542a-affd-2ba78e6a9621","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, Ground & Level 01","Partition Lining"
"7cada697-f02c-59a3-a8b0-fe7994c93d32","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, Ground & Level 01","Ceiling Framing"
"51533468-24bd-55aa-9232-a4fa8e997f26","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, Ground & Level 01","Ceiling Lining"
"ef75b26d-bacf-484e-b848-d29c5029b824","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 2, Ground & Level 01"
"3e1496a4-4ffb-523d-abce-465284c2553b","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 2, Ground & Level 01","Partition Framing"
"c24e1d70-287c-55c1-82de-610a8d1cf908","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 2, Ground & Level 01","Partition Lining"
"0be6909d-6a8e-5ff6-bd98-4a199f6a6a8b","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 2, Ground & Level 01","Ceiling Framing"
"b7d25f0d-95c5-5751-8b8b-b6e8be31cbbe","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 2, Ground & Level 01","Ceiling Lining"
"f814fa59-a8f6-451b-9649-34a9873dddf8","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, & Wing 2 - Service Area"
"4da652b6-c108-4e41-bd33-cf8ffba0da94","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, & Wing 2 - Service Area","Partition Framing "
"69f055df-d1ca-4e4a-8f1f-22146cb5da92","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, & Wing 2 - Service Area","Partition Lining "
"177d8a78-c973-4b98-af70-3682f637871e","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, & Wing 2 - Service Area","Ceiling Framing "
"2b578012-a3b2-471a-830d-9a8357ed5daa","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03 - Accommodation Unit 3","Wing 1, & Wing 2 - Service Area","Ceiling Lining "
"8df97185-d29a-4715-8a6e-d73a2950dd50","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4"
"ca484be8-449a-4c96-8c4d-ed502f9d82af","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 01, Core"
"47f9c775-b0e4-59fe-8cd9-ae0fa11f0443","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 01, Core","Partition Framing"
"5cc5b6c2-f924-5579-9481-29e5106c1efe","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 01, Core","Partition Lining"
"55d5d616-a2c5-5c79-a019-cea274f55876","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 01, Core","Ceiling Framing"
"6cd386ae-d10f-5e49-a3ce-a91414e0ea70","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 01, Core","Ceiling Lining"
"32e84f21-dd1d-4a51-ae91-2dc54b79eb74","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 1 01, Core - Comms/Sec Room (1.022)"
"00a83d7f-a5fd-5b9e-bc91-7ff59a1f04c4","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 1 01, Core - Comms/Sec Room (1.022)","Partition Framing"
"d0fc433f-5230-5c2c-8347-943e9354269d","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 1 01, Core - Comms/Sec Room (1.022)","Partition Lining"
"1a5d5654-090a-5914-a1ec-139571d622b2","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 1 01, Core - Comms/Sec Room (1.022)","Ceiling Framing"
"ac4ceb65-b490-5d8b-8ec2-494fcf586223","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A03/A04 - Accommodation Unit 3/4","Level 1 01, Core - Comms/Sec Room (1.022)","Ceiling Lining"
"317b5e8a-301b-48fb-9e58-d8452cc2e733","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4"
"092afca9-ddef-4c09-b73d-b92acb7ec96e","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Ground Core"
"9d0b0e58-613d-55e0-8fc8-01225080eba2","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Ground Core","Partition Framing"
"a39e16ac-24a2-5b6c-a425-f88437e19986","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Ground Core","Partition Lining"
"3599530b-8b2c-56f7-a57e-6f8ce8008fc8","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Ground Core","Ceiling Framing"
"77b69ebf-56d6-5628-b578-fc94f0077a77","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Ground Core","Ceiling Lining"
"bbc9e9e9-0d40-4c6f-8f24-62790ddb3384","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, Ground & Level 01"
"687f3b3a-221f-551d-97d2-d22bc4bed46d","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, Ground & Level 01","Partition Framing"
"0e03fb7d-4749-58ae-aea2-6a0805025284","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, Ground & Level 01","Partition Lining"
"195d2e5f-4a07-5007-9740-7430e1961c42","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, Ground & Level 01","Ceiling Framing"
"6cccf603-1d3a-549f-b8a4-e35609bc1a4f","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, Ground & Level 01","Ceiling Lining"
"4ea1d053-53ef-4fee-9610-4ee8376370d3","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 2, Ground & Level 01"
"f6fe40a9-0eb2-5252-b1e3-11ff31a1699f","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 2, Ground & Level 01","Partition Framing"
"3ac092c9-de3a-5eeb-a986-f622c17bd141","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 2, Ground & Level 01","Partition Lining"
"9eded23a-a9b4-53ad-9470-a5bcfaa0cf04","","not-applicable","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 2, Ground & Level 01","Ceiling Framing"
"0b33806c-ed17-534b-8a13-59bf27603996","","not-applicable","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 2, Ground & Level 01","Ceiling Lining"
"e6bf3c83-6e35-4e75-b489-531df59cd53a","","pass","","folder","TRUE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, & Wing 2 - Service Area"
"8a63998a-9c0b-5e06-8118-7b14ed2d1b77","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, & Wing 2 - Service Area","Partition Framing"
"8fc3b9d6-dff3-5674-90a1-611eee017f8e","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, & Wing 2 - Service Area","Partition Lining"
"d6d4c0c6-bf80-517d-88fb-28f265cebd4a","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, & Wing 2 - Service Area","Ceiling Framing"
"77068191-eb52-5ea3-a9cb-3aeacdee28ae","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A04 - Accommodation Unit 4","Wing 1, & Wing 2 - Service Area","Ceiling Lining"
"627ee3fa-4e11-4212-b312-577f96658ca1","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit"
"2ba4df72-eceb-4f40-9c5f-6247613bfc6d","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Ground Core"
"5d828da7-89e1-5e9b-824f-4b8dea063343","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Ground Core","Partition Framing"
"d0a4a5b3-3420-532d-b43d-e6b56d6f8242","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Ground Core","Partition Lining"
"4f8f97cb-75bd-5838-a1c3-88c06be6fd65","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Ground Core","Ceiling Framing"
"a1b2f1a5-6436-56bb-916d-3a8fbe6500c0","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Ground Core","Ceiling Lining"
"7749f67f-c24d-4d9c-beea-b7eefaad63c5","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Ground"
"abe6d9fd-ba54-5af1-bd8c-b62315154b63","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Ground","Partition Framing"
"48ad9273-949e-5e93-82b5-04f2004f47cb","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Ground","Partition Lining"
"4cf04a67-985b-5060-8b99-812bfb9a668a","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Ground","Ceiling Framing"
"eea03c41-a1f9-55e3-aa0e-f203e3675b62","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Ground","Ceiling Lining"
"dc987b80-764b-42ce-9307-dde636e211ae","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Separates Wing, Ground"
"1b8cf3a9-f2cc-55db-a307-127dd68f05d7","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Separates Wing, Ground","Partition Framing"
"5c7b9164-72ee-541d-bc79-d9e86d26374c","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Separates Wing, Ground","Partition Lining"
"0aae6161-aa52-5da4-a6bb-9f58fd31024a","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Separates Wing, Ground","Ceiling Framing"
"ff173c0a-3e3a-5dce-8a02-04df989baac8","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Separates Wing, Ground","Ceiling Lining"
"d18b4579-54b9-4257-b201-fe89c5a9afdd","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core - Comm / Sec Room (1.002)"
"34048a70-a54b-5f07-b79d-468061d70ed9","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core - Comm / Sec Room (1.002)","Partition Lining"
"d6a36896-e322-5398-836b-b1b9d4b51f84","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core - Comm / Sec Room (1.002)","Partition Framing ITP"
"261e530f-a9ef-58f7-8d7f-b1febad88a2d","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core - Comm / Sec Room (1.002)","Ceiling Framing ITP"
"22b830b8-70fb-5808-8e68-013ed38e2523","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core - Comm / Sec Room (1.002)","Ceiling Lining ITP"
"aea0668f-4653-481c-99c1-00cecadf11c6","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core"
"d55feb48-08d4-5bb9-9d1c-031be6bade5f","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core","Partition Framing"
"b5f6dfad-f170-5fa2-8b92-4a37970446c2","","pass","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core","Partition Lining"
"94f7a656-10db-54b8-baaf-8906d512310b","","pass","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core","Ceiling Framing"
"a8eb3c1e-9ec4-5e38-947e-ba7bb729c769","","pass","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Level 01, Core","Ceiling Lining"
"5580705e-4769-4362-b5bc-bd095bbae8e7","","pass","","folder","TRUE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Level 01"
"b9dde0ac-83c1-52bc-b973-312f85d57c75","","pass","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","MSU - Management & Separates Unit","Management Wing, Level 01","Partition Framing"
