"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status","1a57b0df-c170-4b44-90b6-b08e0b93ca07","","checkpoint","Wights - Sign Off"

"checklist-flat","67347c4f-454b-4ca0-b8dd-c60deb5f4928","","checklist","150mm Flushglaze - With Window Controls","",,,0,"Yes","150mm Flushglaze - With Window Controls","5c24a98a-ca8f-4a33-a95a-8f0e58f67777"
"checkpoint-status","f05e1a34-9838-44f3-93d2-65a18361c9fe","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","f9c76458-1fb9-4d00-a2e0-5011fc4b9ca3","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","7b843f27-fe5f-44af-b66f-004f2c795a71","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","6a428dc5-a0e9-4a68-9a00-799003b8125d","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","002b7343-04d0-4dff-9e0a-a34d3bdae19a","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","d1ff40b1-f168-4571-8ef7-722bba3e75df","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","cc7d1958-add6-4d32-bc35-f68594808b63","","checkpoint","Airseal and Internal Flashings"
"checkpoint-status","af77befe-15bf-4c8c-97ee-596ad52dbd24","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","284f49f7-c5cd-46fc-8b60-f2b238d11886","","checkpoint","Autodoor Unit Installed - Window Control Systems"
"checkpoint-status","3460a941-fa79-4e84-925d-abeb9da8d809","","checkpoint","Autodoor Unit Commisioned - Window Control Systems"
"checkpoint-status","6ae3f5ac-461b-48f4-950d-9622d82a2cff","","checkpoint","Site Glazing Completed"
"checkpoint-status","065fe241-5269-4d5c-abaa-3f26df44b551","","checkpoint","Trade Clean"
"checkpoint-status","09727541-094a-4eb0-ab96-c40f7e5049ee","","checkpoint","Wights - Sign Off"

"checklist-flat","a9f4a303-23a3-4087-9f8d-e95ebde435da","","checklist","Architectural","",,,0,"Yes","Architectural","69e09ba1-e985-448c-95ad-364e7bf7fe48"
"checkpoint-status","43e6ff93-8639-4273-9e51-305061768f27","","checkpoint","Opening Wraped & Prepared Correctly By Others"
"checkpoint-status","27aee0ba-df9c-41f4-8646-480ac3e559e7","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","b7c87995-bba2-4639-82f1-54b489133118","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","de7256c4-64ef-41e4-9742-9556430d54ce","","checkpoint","Installed / Fixed As Per Shop Drawings"
"checkpoint-status","94999e39-8ec1-4396-bc8c-6b027024b0c0","","checkpoint","Airseals Completed"
"checkpoint-status","ad8c6b96-7da2-47e4-bd81-3c390a4ecbd3","","checkpoint","Site Glazing Completed - Metro Glass"
"checkpoint-status","665f67ca-f6c0-401d-8196-68f53d22bcea","","checkpoint","Trade Clean"
"checkpoint-status","31a45fa2-0bf3-4def-8c24-d97b7b3b53a7","","checkpoint","Wights - Sign Off"

"checklist-flat","c66df630-2f0f-45d9-b35b-c456975b73bd","","checklist","Seismic Suite (non curtain wall)","",,,0,"Yes","Seismic Suite (non curtain wall)","70d4cdb0-a6b3-40b2-b30f-d6ad7345507f"
"checkpoint-status","b06c8f6d-9a58-41af-ae83-8d0f4aaa24a6","","checkpoint","Opening Prepared, Wrapped & Datums"
"checkpoint-status","31299b0d-bb73-4752-9c11-fa347b4cd9e5","","checkpoint","Seismic Installed As Per Shop Drawings"
