"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e137db29-0eb4-5d8f-90e5-98c95ea8e8f7","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:b6a22ad6-5fc9-58a1-a864-f178b18a9095","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.4.1 - Crushing Resistance"
"31e7aaf0-962d-5738-b9a9-dc70eea21d77","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:b6a22ad6-5fc9-58a1-a864-f178b18a9095:a398b73d-efa3-5256-ae85-9411c1e2ca37","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"6d0f5816-8940-52b9-a7ca-9dfaab33a867","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:3f788f51-4f7d-5c69-b850-f5390fcb2c2e","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.4.2 - Particle Size Distribution"
"9e650716-b133-582d-ba01-6cfaf72a54ff","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:3f788f51-4f7d-5c69-b850-f5390fcb2c2e:ad8b4c0a-d700-5a74-8728-bbff13e996d3","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"2387079e-bb71-5009-9feb-806febf5256e","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:3356783d-4613-55b3-837d-756350b0e3a3","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.4.3 - Weathering Resistance"
"6dcd2de1-e50f-5630-bdaf-f2e37460a7b7","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:3356783d-4613-55b3-837d-756350b0e3a3:ead9a554-7f33-5535-8618-d239ca258e84","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"ab00e01d-19a9-5c92-b583-f7286b5e5423","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:cfa973b9-821b-5366-9e96-aef5debe1f37","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.5.1 - Geotextile"
"4c8d33f5-953c-513a-bc24-fd1cd2f04276","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:cfa973b9-821b-5366-9e96-aef5debe1f37:c9f84dd4-62d1-5a68-a153-52aa059ba6e2","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"77de3426-59e6-5479-808d-c182b1a884ec","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:a870b3cc-abd4-5d52-8269-fe725225c68d","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.6.1 - Laboratory Testing for Soil Suitability"
"650f54aa-b56f-59ef-9b3d-1549dec664b3","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:4df8d327-6e97-5620-a77a-66465636c9d2","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.7.1 - Crushing Resistance"
"9698ac9d-00b3-50e2-a963-1b6225a41204","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:4df8d327-6e97-5620-a77a-66465636c9d2:0d7c8bd5-7fac-5d51-bc8b-91194e4b4abb","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"35d11ef7-a10e-50ad-af60-686fb2209b0d","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:621ec4b2-6500-5108-af41-38730533fa09","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.7.2 - Particle Size Distribution"
