"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Block D - Basement 1/Lower Ground","grouping","basement 1/lower ground","block d"
,,"e4.04","expanded","level 4","e4.04","block e"
,,"e4.05","expanded","level 4","block e","e4.05"
,,"e4.06","expanded","level 4","e4.06","block e"
,,"Block F - Basement 1/Lower Ground","grouping","basement 1/lower ground","block f"
,,"internal drainage","expanded","internal drainage","basement 1/lower ground","block f"
,,"internal stormwater","expanded","internal stormwater","basement 1/lower ground","block f"
,,"sewer stacks / storm water stacks","expanded","basement 1/lower ground","sewer stacks / storm water stacks","block f"
,,"lobby","expanded","basement 1/lower ground","lobby","block f"
,,"flg.01","expanded","flg.01","basement 1/lower ground","block f"
,,"flg.02","expanded","flg.02","basement 1/lower ground","block f"
,,"flg.03","expanded","basement 1/lower ground","block f","flg.03"
,,"flg.04","expanded","basement 1/lower ground","flg.04","block f"
,,"flg.05","expanded","basement 1/lower ground","flg.05","block f"
,,"flg.06","expanded","flg.06","basement 1/lower ground","block f"
,,"flg.07","expanded","basement 1/lower ground","block f","flg.07"
,,"Block F - Ground Floor","grouping","ground floor","block f"
,,"corridor","expanded","ground floor","corridor","block f"
,,"fg.01","expanded","ground floor","fg.01","block f"
,,"fg.02","expanded","ground floor","fg.02","block f"
,,"fg.03","expanded","ground floor","fg.03","block f"
,,"fg.04","expanded","ground floor","fg.04","block f"
,,"fg.05","expanded","ground floor","fg.05","block f"
,,"fg.06","expanded","ground floor","block f","fg.06"
,,"fg.07","expanded","ground floor","fg.07","block f"
,,"fg.08","expanded","ground floor","fg.08","block f"
,,"fg.09","expanded","ground floor","fg.09","block f"
,,"fg.10","expanded","fg.10","ground floor","block f"
,,"fg.11","expanded","ground floor","fg.11","block f"
,,"fg.12","expanded","ground floor","fg.12","block f"
,,"fg.13","expanded","ground floor","fg.13","block f"
,,"fg.14","expanded","ground floor","fg.14","block f"
,,"Block F - Level 1","grouping","level 1","block f"
,,"corridor","expanded","level 1","corridor","block f"
,,"f1.01","expanded","f1.01","level 1","block f"
,,"f1.02","expanded","f1.02","level 1","block f"
,,"f1.03","expanded","level 1","f1.03","block f"
,,"f1.04","expanded","level 1","f1.04","block f"
,,"f1.05","expanded","f1.05","level 1","block f"
,,"f1.06","expanded","level 1","f1.06","block f"
,,"f1.07","expanded","level 1","f1.07","block f"
,,"f1.08","expanded","level 1","block f","f1.08"
,,"f1.09","expanded","f1.09","level 1","block f"
,,"f1.10","expanded","level 1","f1.10","block f"
,,"f1.11","expanded","level 1","f1.11","block f"
,,"f1.12","expanded","f1.12","level 1","block f"
,,"f1.13","expanded","f1.13","level 1","block f"
,,"f1.14","expanded","level 1","f1.14","block f"
,,"Block F - Level 2","grouping","level 2","block f"
,,"corridor","expanded","corridor","level 2","block f"
,,"f2.01","expanded","level 2","f2.01","block f"
,,"f2.02","expanded","f2.02","level 2","block f"
,,"f2.03","expanded","f2.03","level 2","block f"
,,"f2.04","expanded","f2.04","level 2","block f"
,,"f2.05","expanded","level 2","f2.05","block f"
,,"f2.06","expanded","f2.06","level 2","block f"
,,"f2.07","expanded","f2.07","level 2","block f"
,,"f2.08","expanded","level 2","f2.08","block f"
,,"f2.09","expanded","level 2","block f","f2.09"
,,"f2.10","expanded","f2.10","level 2","block f"
,,"f2.11","expanded","f2.11","level 2","block f"
,,"f2.12","expanded","level 2","f2.12","block f"
,,"f2.13","expanded","f2.13","level 2","block f"
,,"f2.14","expanded","f2.14","level 2","block f"
,,"Block F - Level 3","grouping","block f","level 3"
,,"corridor","expanded","corridor","block f","level 3"
,,"f3.01","expanded","f3.01","block f","level 3"
,,"f3.02","expanded","f3.02","block f","level 3"
,,"f3.03","expanded","f3.03","block f","level 3"
,,"f3.04","expanded","f3.04","block f","level 3"
,,"f3.05","expanded","f3.05","block f","level 3"
,,"f3.06","expanded","f3.06","block f","level 3"
,,"f3.07","expanded","f3.07","block f","level 3"
,,"f3.08","expanded","f3.08","block f","level 3"
,,"f3.09","expanded","block f","level 3","f3.09"
,,"f3.10","expanded","f3.10","block f","level 3"
,,"f3.11","expanded","f3.11","block f","level 3"
,,"f3.12","expanded","f3.12","block f","level 3"
,,"Block F - Level 4","grouping","level 4","block f"
,,"corridor","expanded","level 4","corridor","block f"
,,"f4.01","expanded","level 4","f4.01","block f"
,,"f4.02","expanded","level 4","f4.02","block f"
,,"f4.03","expanded","level 4","f4.03","block f"
,,"f4.04","expanded","level 4","f4.04","block f"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"

