"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf0ede9d-e731-43f5-b0e2-460cc0836f40","","folder-normal","","","step","TRUE","FALSE","Site QA"
"230a30d5-e260-4644-8efe-efe05d8eae36","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"c0fe88c4-06f5-475d-b971-867e199866de","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C24.W3 - 2885 - 900 - PW"
"2dbd6c58-3556-4c54-a431-06c6162362ca","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C24.W4 - 2885 - 900 - PW"
"200b616f-e987-4e1f-b4b9-52d27fb54123","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C25.W2, C25.W3 - 5900 - 5820 - CW"
"33035579-72d7-4589-b281-549e1b67cc52","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C25.W3 - 2885 - 900 - PW"
"8ffd58d0-eed1-4e2e-8558-0faa7e82e251","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C25.W4 - 2885 - 900 - PW"
"2eee2737-96b9-47e3-a70f-0880bb08fc93","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C26.W1, C26.W2 - 6000 - 5820 - CW"
"48968bea-a2f5-44fd-bf12-928ddd9b0b09","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C26.W3 - 2885 - 900 - PW"
"1b803a60-7991-41de-8f59-785c7220f281","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C26.W4 - 2885 - 900 - PW"
"b9d625e6-9baf-45fc-b4e8-e2aa540e3d25","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C27.W1, C27.W2 - 6000 - 5820 - CW"
"d71d6275-5aa8-471c-a8e5-1b291096d284","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C27.W3 - 2885 - 900 - PW"
"e7582a63-eada-4006-8fc1-f27b1e6d015f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C27.W4 - 2885 - 900 - PW"
"97d9532f-c74f-45aa-9a12-1a429a5c05e9","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C28.W1, C28.W2 - 6000 - 5820 - CW"
"17186060-7e59-4115-ac09-5dd159f9e580","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C28.W3 - 2885 - 900 - PW"
"8c89ca25-49e0-4244-aa78-d2da07985726","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C28.W4 - 2885 - 900 - PW"
"75a1e26c-da82-45ba-a99f-47074077a721","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C29.W1, C29.W2 - 6000 - 5820 - CW"
"58ced2ad-2b58-4d35-82e2-57c9dee55ce2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C29.W3 - 2885 - 900 - PW"
"37b7b3fa-daf4-4514-9a97-792b4fd94a73","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C30.W1, C30.W4 - 6000 - 5820 - CW"
"505b7445-73db-4010-bf0b-0dafd92b3156","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C30.W3 - 2885 - 900 - PW"
"7ac6341b-4ea0-4e92-990d-e1cc39a6a83c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C30.W4 - 2885 - 900 - PW"
"3ae9147b-bb67-47f2-9612-edd9df90f449","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C31.W2, C31.W3 - 6000 - 5745 - CW"
"40a91931-d84c-4794-b38f-53a1c5f807a2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C31.W3 - 2885 - 900 - PW"
"94c4d2ea-e5df-4421-8ece-e1f4207438f2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C31.W4 - 2885 - 900 - PW"
"22557a16-15dd-4c8f-9e2b-c4eeacd4d68f","","folder-normal","","","step","TRUE","FALSE","Site QA","Block D"
"6ae7fda4-9875-4d9d-8102-606a2035ec1e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D32.W1, D32.W2 - 6000 - 4900 - CW"
"aa3f1b31-43ff-48a8-a4ab-0a5b08ab75a6","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D33.W1, D33.W2 - 6000 - 4150 - CW"
"feeed4b9-09e1-4f09-bf60-ffd1d2019bbf","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D34.W1, D34.W2 - 6000 - 4150 - CW"
"88685604-8073-4350-bb1c-9885ad3f31f2","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D35.1.W1 - 6000 - 2671 - CW"
"9abdbf1c-18a1-4d3a-9c1e-a8b689b324bf","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D35.W1 - 6000 - 2671 - CW"
"48c5161c-4b5d-41f2-bf1c-67673d5b8640","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D36.1.W1 - 6000 - 2671 - CW"
"158ca825-e1ff-4a7d-b002-026dba447d5b","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D36.W1 - 6000 - 2671 - CW"
"95ea65eb-6a28-478a-818c-868e2f274ff9","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D37.1.W1 - 6000 - 2671 - CW"
"8f1d0dfc-cce2-4e7a-b4a9-eb473038beca","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D37.W1 - 6000 - 2671 - CW"
"f59c32df-d77e-4836-95fa-d63f37a2384d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D38.1.W1 - 6000 - 2671 - CW"
"388c792e-1c8f-4e8e-a260-71291f60ed06","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D38.W1 - 6000 - 2671 - CW"
"84c59972-5498-408b-92db-ea10ccb6fe49","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D39.1.W1 - 6000 - 2671 - CW"
"c9eda116-8cba-43bd-a3b6-f56e90e9703d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D39.11 - 6000 - 2671 - CW"
"73c0b7f9-7516-400c-a51f-823fdd67241a","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block D","D40.W1 - 6000 - 2671 - CW"
"17b69bc1-2adb-4db8-8c1c-db684fe877aa","","folder-normal","","","step","TRUE","FALSE","Site QA","Block E"
"e5fbfefe-664b-484f-afaf-290aedfcbb02","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E41 - 4900 - 12250 - CW"
"b88d2b30-a07a-4921-92e0-5239942a3938","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E42.1.W1, E42.1.W2 - 6000 - 4775 - CW"
"01f360a2-4761-4f3f-a0ba-e11337f0e424","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E42.W1, E42.W2 - 6000 - 4775 - CW"
"988e5eb0-36d1-4f20-93a9-f9303f9638fc","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E43.W1, E43.W2 - 6000 - 5975 - CW"
"4979c510-049f-4530-adf3-233783146eea","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E44.W1, E44.W2 - 6000 - 5975 - CW"
"1a10ba75-1e56-429d-b5b6-daabc12f5873","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E45.W2, E45.W3 - 6000 - 5975 - CW"
"5747023a-5410-46f6-bfd4-eac813366081","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E46.W1, E46.W3 - 6000 - 5975 - CW"
"a182026f-2288-41ae-a4a7-bc884b1d2f87","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E47.W1, E47.W2 - 6000 - 4775 - CW"
"641ada76-bcf0-42d1-9590-2debf79e6dc4","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E47.W1, E47.W2 - 6000 - 4775 - CW"
"bc31b485-ae9f-42b8-b30e-992295af69f3","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E48.1.W1, E48.1.W2 - 6000 - 4775 - CW"
"42e7b04a-beef-4ba9-a6ff-e605eff063aa","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E48.W1, E48.W2 - 6000 - 4775 - CW"
"d5a07ec8-6132-44a8-beb2-a47d9602ba34","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E49.W1, E49.W2 - 6000 - 4775 - CW"
"3b968c86-86e6-4096-b98a-7650b1cb3b5f","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E49.W3 - 6000 - 2455 - CW"
"a9d6ff16-ce8b-48ca-ab33-3a8a67c6e640","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E5.W1 - 6000 - 8400 - CW"
"32960737-cd54-4b5b-9107-16decec5e5cc","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E50 - 6000 - 900 - CW"
"c2deaded-faba-4a0a-ad3b-66b9be74a9f0","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E50.W3 - 6000 - 1070 - CW"
"9842a4ed-7e64-4461-b361-02eeddffd629","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E51 - 4900 - 11580 - CW"
"15ffa270-246b-4f84-92c0-41e846be2a76","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E51 - 6000 - 900 - CW"
"5bbf64b7-9253-4740-a596-b9e88e93f456","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block E","E52.W2 - 6000 - 1070 - CW"
"2a19286d-532b-4640-8ae2-8b3f907d14ac","","folder-normal","","","step","TRUE","FALSE","Site QA","Block U"
"cde3c880-d091-4317-985b-a0c3b9dbcbf1","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U13.G1 - 2750 - 900 - PW"
"ed20c40f-fb3b-42d9-9423-06c6012d1102","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U13.G2 - 2750 - 900 - PW"
"ea992c37-2cb6-4327-9837-2ce621b028a0","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U13.G3 - 1650 - 900 - PW"
"9d4c43f8-503e-4422-8a8c-671b7d7b22ae","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U13.L1 - 2650 - 900 - PW"
"e1efedc8-df46-4539-9645-caa6efd8a236","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U13.L2 - 2650 - 900 - PW"
"c1db68f3-47dd-4b81-b7fa-1e155c49434f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U14.1.G1 - 2750 - 900 - PW"
"72a54f86-0321-4a0c-9996-d52490d4341b","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U14.1.L1 - 2650 - 900 - PW"
"7aa06222-a6ac-4458-aa83-fa226aac7da3","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U14.G1 - 1000 - 900 - PW"
"d849ecfd-79cf-4625-a1b2-a336f24055ce","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U14.L1 - 2650 - 900 - PW"
"3ccf5650-5046-429c-8977-1871d6d6975f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U14.L2 - 2650 - 900 - PW"
"5cb593f9-528d-4a90-b20d-4da92ea02547","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U15.G1 - 2750 - 900 - PW"
"d04876e4-8fa2-4000-adbc-b4f7554f7b3f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U15.G2 - 2750 - 900 - PW"
"2c489f65-6197-459a-be77-1e99646655d5","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U15.L1 - 2650 - 1555 - PW"
"009b6a8f-b364-4fc1-92dd-483797feef5e","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U15.L2 - 2650 - 900 - PW"
"25c52807-fcdd-436e-bb1d-3bd83df08afb","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U16.G1 - 1650 - 460 - PW"
"5355fd85-bb14-41de-afde-ef6f0a606b26","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U16.G2 - 1650 - 850 - PW"
"05d691e7-bb22-4fba-9866-97d285d6f9c2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U16.L1 - 2650 - 460 - PW"
"21a42232-167c-4d82-966c-bd4cd1a6d989","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U17.G1 - 1650 - 610 - PW"
"ac1781b6-d0e6-4551-bbb7-4ea8e1981ea8","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U17.G2 - 1650 - 900 - PW"
"6c8ee5f1-fbb8-4c66-bea6-636085834446","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U17.L1 - 2650 - 610 - PW"
"b8eda178-cdd8-4f97-9b8e-72a54a0ad744","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U18.G1 - 1200 - 700 - PW"
"8a1320f9-a7e0-47df-bea4-fc1dc3715425","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block U","U18.G2 - 1200 - 900 - PW"
"740052db-81d2-48c1-9f4f-4232e98f8475","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block U","U19.L1 - 4900 - 800 - CW"
