"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f35bbbe4-1827-471a-8063-c0edfaa6441a","","folder-normal","","","step","TRUE","FALSE","Site QA"
"b5531cab-1d34-45d6-9e68-7afdf204e0d2","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"72d704d1-50f4-404a-9b49-4b16e806eec9","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.22 - 850 - 800 - PW"
"08828239-617e-4696-8305-193ffff32dca","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.7 - 850 - 800 - PW"
"78d6fe57-70c2-47f3-bd93-14b966e0866d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.13 - 850 - 800 - PW"
"94c35d96-40bf-4b78-889d-1a54133a7e34","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.14 - 850 - 800 - PW"
"e3415fe8-6dfd-4f1e-a249-65d960d1dc94","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.22 - 850 - 800 - PW"
"23df3800-83e4-4273-880c-0c7441e3f275","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.7 - 850 - 800 - PW"
"998179ea-23df-4063-ba3d-7a73b3b35a28","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.13 - 850 - 800 - PW"
"c7c0c96f-c51b-46c8-883f-196e57bc1a8f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.14 - 850 - 800 - PW"
"de52efb0-edef-4768-8f95-06a419395919","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.22 - 850 - 800 - PW"
"f5fabaa9-52e8-4745-a7e0-2f0e2318aa73","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.7 - 850 - 800 - PW"
"486724c4-9bb1-4ff9-913f-7da86a35ad10","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.13 - 850 - 800 - PW"
"94e57a8a-6fd4-4817-89f8-f1bba632ae2b","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.14 - 850 - 800 - PW"
"8c861366-6090-46be-965d-b661cae891db","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.7 - 850 - 800 - PW"
"7441fd0b-d9c3-4a0e-bf6a-3e3275641d8a","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.13 - 850 - 800 - PW"
"3d5a4100-864a-4fa3-b8f1-1d09ec1802e7","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.14 - 850 - 800 - PW"
"b1b4f8e3-ad97-401e-87d0-54615fed695f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.22 - 850 - 800 - PW"
"711c7337-b170-4d69-b044-4baf24928426","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.12 - 1450 - 700 - PW"
"7c34f070-cf39-45dd-a050-64ceab5b2464","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.15 - 1450 - 700 - PW"
"763eb996-936b-4b01-bec0-4e6cd0571b9d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.12 - 1450 - 700 - PW"
"75300df0-60bd-4163-80b5-e191a6eb511c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.15 - 1450 - 700 - PW"
"7bdb9a17-c5b6-4fba-afae-ef90070240bf","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.12 - 1450 - 700 - PW"
"e9daed82-13e9-4d7a-994a-d674219e6f03","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.12 - 1450 - 700 - PW"
"96789e45-d563-4eca-bc0b-61ac4f1dc66c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.15 - 1450 - 700 - PW"
"4e845f79-4d58-48a7-8328-2bed8955da88","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.1 - 1450 - 1400 - PW"
"46b200ee-b677-4993-8288-5f8dfec6f6ba","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.3 - 1450 - 1400 - PW"
"d95eec92-9cb7-49e6-829f-220cf0a0871a","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.4 - 1450 - 1400 - PW"
"b8f7b2d3-8cb4-4e95-98aa-d982ff086055","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.8 - 1450 - 1400 - PW"
"541e81f9-ac3a-4d06-9774-499cfc52173e","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.10 - 1450 - 1400 - PW"
"3b47342d-a843-484c-b070-951ab897d40e","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.17 - 1450 - 1400 - PW"
"cad8bce8-0b3b-4468-93d7-6882da10d32c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.21 - 1450 - 1400 - PW"
"871a38cc-a6b4-44f8-b7c3-25eded5635f8","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.1 - 1450 - 1400 - PW"
"86c647f5-cc76-4d0c-ad29-0cbef4c5aadc","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.3 - 1450 - 1400 - PW"
"f520c5aa-059b-406c-85a2-c28a5f9d8996","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.4 - 1450 - 1400 - PW"
"8107538f-def6-4601-859b-1ddea0c0924a","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.8 - 1450 - 1400 - PW"
"442df066-d882-4aef-884d-55855767dde6","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.10 - 1450 - 1400 - PW"
"4da1c246-ea39-4488-acd8-1b3eaccc8bac","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.17 - 1450 - 1400 - PW"
"9da4970c-4702-47cb-a749-e0efbce1a161","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.21 - 1450 - 1400 - PW"
"26275e52-e9b3-4212-b60b-7665b753ab9b","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.1 - 1450 - 1400 - PW"
"d6a067d5-9607-4627-8a94-e01bd090e70c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.3 - 1450 - 1400 - PW"
"7df56213-d85d-40cb-8a64-d28376d0a87f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.4 - 1450 - 1400 - PW"
"4337469f-43c5-408c-bada-d331a210a93a","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.8 - 1450 - 1400 - PW"
"8deed62f-f955-4d14-b415-594fb9796977","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.10 - 1450 - 1400 - PW"
"30bd1c03-5e68-49ad-bdf7-20997efdda5f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.17 - 1450 - 1400 - PW"
"41713bc2-e4a8-4bf1-a8ed-2f75ae82d647","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.21 - 1450 - 1400 - PW"
"908726f7-06e6-46d2-9c71-a6de749a6817","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.1 - 1450 - 1400 - PW"
"e97c3a8b-060e-46b9-b78f-efa9cb59b252","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.3 - 1450 - 1400 - PW"
"e292a7ac-5bb9-46be-90cb-f9a2bee98f00","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.4 - 1450 - 1400 - PW"
"a156a62d-2201-45fa-8c56-4e383167c80a","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.8 - 1450 - 1400 - PW"
"b1116513-13a3-41db-8f0c-7beb7e8c0345","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.10 - 1450 - 1400 - PW"
"baed07eb-3898-4887-ae08-b4d3612525b4","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.17 - 1450 - 1400 - PW"
"13520ebe-22c6-4c17-8383-61b4066407cc","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.21 - 1450 - 1400 - PW"
"41e870e4-8464-4af2-ba41-a92c3e97eb61","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.1 - 1450 - 1400 - PW"
"359873b7-52f0-48d5-89a1-db2042675aa4","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.3 - 1450 - 1400 - PW"
"eb382611-d6a4-488f-b438-069b49898c24","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.4 - 1450 - 1400 - PW"
"4bf1cc3d-fc62-4f60-a34e-6b331fa49c78","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.8 - 1450 - 1400 - PW"
"83f4bf8f-d80e-4760-85c6-abe704afb80f","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.10 - 1450 - 1400 - PW"
"69f0ae89-3056-41ad-b856-19a9ea8b2e6e","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.17 - 1450 - 1400 - PW"
"2c9972de-7304-4a5e-98be-6c1e250b3683","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.21 - 1450 - 1400 - PW"
"a15d613e-d90e-4818-bf70-282fc00fbcf7","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.18 - 1450 - 1400 - PW"
"ef838843-ae8d-41ed-9b47-1ac998dd3df2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.18 - 1450 - 1400 - PW"
"63c18e1d-51c5-434f-aa60-4965fd7c4de2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.18 - 1450 - 1400 - PW"
"c72700c4-e187-4f56-bc27-b8296f52bd14","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.18 - 1450 - 1400 - PW"
"1a5d6da2-e7ca-49ab-9684-5bcc32cf284d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.18 - 1450 - 1400 - PW"
"42d7a85d-35a0-479d-b8c3-a3c758c69993","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.6 - 1450 - 600 - PW"
"dff7c53c-15b6-4288-ac70-97afc7059c8c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.23 - 1450 - 600 - PW"
"a4caf85b-a22b-4235-9e5f-d877e3d881a1","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.6 - 1450 - 600 - PW"
"b7d969c9-1be4-4b8b-8a48-331cbc00fab5","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.23 - 1450 - 600 - PW"
"798333e6-dc5f-42ce-b7b4-e521509426ea","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.6 - 1450 - 600 - PW"
"51c224c6-7805-4412-befa-1795e7dee2c4","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.23 - 1450 - 600 - PW"
"70ccfb95-d7d3-4259-8e22-772530ef0066","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.6 - 1450 - 600 - PW"
"a2a3bd17-2cb3-4627-856f-41044d60b9a0","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.23 - 1450 - 600 - PW"
"4e41576d-3b46-43c0-b31f-2306ec61849d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.6 - 1450 - 600 - PW"
"5e80fff7-e8dc-4d0b-8ab1-4c3435d1556c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.23 - 1450 - 600 - PW"
"5859e805-6775-4406-bf2e-534099aa3236","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.2 - 2400 - 2600 - SD"
"81a27fcf-7820-4c7e-b90a-de3651c9c8ae","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.16 - 2400 - 2600 - SD"
"344e31bb-79b5-4664-a34b-7f01306fdaa9","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.20 - 2400 - 2600 - SD"
"0849f08b-a322-45c1-8bf1-cde6438563d8","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.24 - 2400 - 2600 - SD"
"d83dafdd-b8f4-43fb-b6b5-0ba8ca56f34b","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.2 - 2400 - 2600 - SD"
"489ca4e8-332b-497a-a849-ca320624ed78","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.16 - 2400 - 2600 - SD"
"05c2cd2f-958f-4ee4-a44c-f427949ff7d0","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.20 - 2400 - 2600 - SD"
"d9e3a7b3-f9c6-4bdf-bc78-d455f51e240b","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.24 - 2400 - 2600 - SD"
"3de9a735-b86b-418c-b844-757c119a2a82","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.2 - 2400 - 2600 - SD"
"86ef35a5-7b61-4965-8f87-7ef075926887","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.16 - 2400 - 2600 - SD"
"fef0282a-f304-40e5-829c-8b2a402c254e","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.20 - 2400 - 2600 - SD"
"6c178479-6b2b-4f76-b51d-72fb70d3a560","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.24 - 2400 - 2600 - SD"
"e7c3de3e-8d72-4adb-9a5f-00beff3b4b6e","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.2 - 2400 - 2600 - SD"
"1a84e13f-eb61-4bc1-8d91-e0ef17d064a9","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.16 - 2400 - 2600 - SD"
"b928a6dd-0034-4f1a-92c4-962ab9b974e8","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.20 - 2400 - 2600 - SD"
"58d5bb71-ba45-43df-b3ea-982e4324690e","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.24 - 2400 - 2600 - SD"
"5cf3ba97-5879-4887-a737-c86727b60f8c","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.2 - 2400 - 2600 - SD"
"1de84cd6-761d-40b1-aa85-11d1fd977958","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.16 - 2400 - 2600 - SD"
"94cbb5a4-c437-402a-83e4-151311c29852","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.20 - 2400 - 2600 - SD"
"08420cc2-4f20-4c44-9996-fa609fb201e8","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.24 - 2400 - 2600 - SD"
"441d6d48-5505-4170-97dd-81b23f77c399","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.5 - 2400 - 2600 - SD"
"0ec8c2e3-061e-404e-a6ef-e15f9e5ebe7c","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.9 - 2400 - 2600 - SD"
"c31e4863-b811-482e-ab3b-8425d9e8de63","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.11 - 2400 - 2600 - SD"
"5cb7fc24-a74f-40a9-989c-22ebc26646cd","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.19 - 2400 - 2600 - SD"
"2c94d248-73a0-4c71-8be1-ffc8d6ff39be","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.5 - 2400 - 2600 - SD"
"ad225ecd-821a-4cb5-b205-dd7a88aa6074","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.9 - 2400 - 2600 - SD"
"deabbb09-5910-4235-b0bf-581349f04256","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.11 - 2400 - 2600 - SD"
"dea7c1a5-403b-48ca-ae16-ca35ecbab78b","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W2.19 - 2400 - 2600 - SD"
"6e3d521d-c184-46e4-a62d-713b77235deb","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.5 - 2400 - 2600 - SD"
"2fd7930c-1e25-49de-9ffd-1b5218cf1892","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.9 - 2400 - 2600 - SD"
"2c62f9a5-de65-4c61-96a2-408d8f2f7599","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.11 - 2400 - 2600 - SD"
"d56befec-2839-4f99-a5ab-3bf980229319","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W3.19 - 2400 - 2600 - SD"
"8ba6d970-2897-4a4b-91b3-885f4c6e36e7","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.5 - 2400 - 2600 - SD"
"85b2df21-faaf-45f2-82ee-9b6de7807ddb","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.9 - 2400 - 2600 - SD"
"8e2c5627-798f-4540-90f1-d31667c7aea4","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.11 - 2400 - 2600 - SD"
"028cbd42-2396-431f-ad04-6c8d5ac4e9b5","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W4.19 - 2400 - 2600 - SD"
"8542a211-9834-443d-9e61-e533a974e446","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.5 - 2400 - 2600 - SD"
"85fc809d-536d-4570-9b3e-72a904b6338a","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.9 - 2400 - 2600 - SD"
"e101fb80-84b8-4d03-856b-76eb57485e76","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.11 - 2400 - 2600 - SD"
"6ca0924f-ba67-4c29-a406-2047a5a4ddbe","","checklist-flat","","SD","checklist-flat","FALSE","FALSE","Site QA","Block A","W5.19 - 2400 - 2600 - SD"
"22082f53-8a63-44e2-869a-f2e60f5412fd","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.0 - 16714 - 1500 - CW"
"e2f2459c-b93c-4ed1-8a3c-cbe7a410dcfb","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.15 - 18365 - 1785 - CW"
"819de10d-8902-40be-aef6-f4974e732725","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.14 - 18800 - 2400 - CW"
"7799b197-9db6-4915-b003-57eceda147c5","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.20 - 18800 - 1500 - CW"
"53220ef0-e4dc-4b82-b2f9-1feae6a7360e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.38 - 20426 - 1500 - CW"
"2ce5c4c4-a9bc-4b03-b698-4a9b3d8812d7","","folder-normal","","","step","TRUE","FALSE","Site QA","Block B"
"9c3e7262-3e73-4450-a38c-77577430fe66","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","W0.1 - 2700 - 1800 - CW"
"a3d3a438-e81b-47c8-b1d0-37edea76ec9d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","W0.2 - 2700 - 750 - CW"
"6784e8c0-132c-4f70-bd03-832a5b55f4f1","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","W0.3 - 2700 - 985 - CW"
