"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed0ffecf-57d6-499b-a60d-b257735b1ea8","","checklist-sectioned","fail","1b646f2c7db592a3d99e4e21c523929df2e056e7329177e5f64d3024379558c8","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221116-PB-007 ITP012 - Asphalt Placement"
"4a477fc4-ace3-4c89-862a-77cea86e9a67","","checklist-sectioned","work-in-progress","ITP012 - Asphalt Placement - Main Works","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221117-PB-008 ITP012 - Asphalt Placement - Main Works"
"dfed19cc-4b26-4112-9dd6-6838f772754d","","checklist-sectioned","work-in-progress","ITP012 - Asphalt Placement - Main Works","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221117-PI-008 ITP012 - Asphalt Placement - Main Works"
"46bfc971-17e4-4d5c-9e82-25336d9c2c29","","checklist-sectioned","pass","ITP012 - Asphalt Placement - Main Works","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221120-PB-000 ITP012"
"c7908ac9-593a-4a29-aad1-c440f3bd9090","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Line Marking"
"4a4b521a-ea30-4a10-9348-3aafc0c1be45","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Line Marking","221106-SC-001"
"7345eedc-2f84-4ba3-93f5-bad44ef6c18c","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Line Marking","221107-PB-002 ITP008 - Pavement Marking"
"0b759598-849f-4b13-9762-68931435c088","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Line Marking","221108-PB-003 ITP008 - Pavement Marking"
"074b0d94-4bf3-41de-abb6-70cc2704b7b4","","checklist-sectioned","pass","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Line Marking","221109-PB-004 ITP008 - Pavement Marking"
"6aa5c194-f985-456d-b377-547fb281c13d","","checklist-sectioned","work-in-progress","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Line Marking","221114-PB-005 ITP008 - Pavement Marking"
"8ca9a7b4-ce2d-4463-8af3-85107956803a","","checklist-sectioned","not-started","acf0ea8382228089dd5ae53f3e45a3f0776bf04bc3dda96dd242c60d41171017","checklist","FALSE","FALSE","Project QA","Line Marking","221115-PB-006 ITP008 - Pavement Marking - Main Works"
"7044f4be-ffa1-4132-a6ed-f4959070680c","","checklist-sectioned","work-in-progress","ITP008 - Pavement Marking - Main Works","checklist","FALSE","FALSE","Project QA","Line Marking","221117-PI-008 ITP008 - Pavement Marking - Main Works"
"63e737c4-c844-456b-a98c-ed4a3df7f6c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Runway Grooving"
"5a690894-391e-4abb-a011-9bb471c2a0d2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Asphalt Aggregates"
"4b17f82d-6661-4f9a-a700-2945bf49dd0d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Trials"
"760d5ef6-2aae-4ab1-b35c-36dea4c4ae17","","checklist-sectioned","work-in-progress","c7b101e25016f66ee4be1a3925ff6e5e11b9e16a2bd70a75a4a6cef34ba17283","checklist","FALSE","FALSE","Project QA","Trials","221027-PB-TRIAL ITP017 - Mixing Plant Establishment and Trials"
"5dfb6558-7889-4921-99f4-ee66bd558c49","","checklist-sectioned","work-in-progress","c7b101e25016f66ee4be1a3925ff6e5e11b9e16a2bd70a75a4a6cef34ba17283","checklist","FALSE","FALSE","Project QA","Trials","221105-PB-000 ITP017 - Mixing Plant Establishment and Trials"
"8d6c1a3d-ba05-47cb-8587-be21b223589d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Earthworks"
"3f83a492-aa8e-483c-b719-6bb365439d11","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","AGL"
"f8961abd-fbad-4cc1-92af-289a64d133fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","AGL","Stage 1.5"
"a0babf7c-1315-466a-8f9d-0bfdf4d870c5","","folder-normal","pass","","step","TRUE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations"
"b823ff38-68ed-4a05-b898-225defae53aa","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 1"
"e7b6ffb7-ffc7-4d58-a9f5-480defa12f3d","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 2"
"648a704b-105b-4ea3-aafb-e280601c15c0","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 3"
"200ebbcd-c4bc-4555-9550-f9b09fee78a2","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 4"
"63fc8d81-b0d0-49b3-9ad6-cf2aa7ebcfea","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 5"
"47e477d3-233b-42a9-a87b-2938ee683d0d","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 6"
"6b6d0a77-f1fe-4316-83b4-1d3e09be4938","","checklist-sectioned","pass","401b942b181a8aaba36904c4330a2eab0778d7a21ff2dfd13950c6245a740ff0","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 7"
"001d6ac3-c1c0-44cb-bb75-a02c183703bf","","checklist-sectioned","pass","ITP016 - AGL Removal of Luminaires and Install of foundations","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Removal of AGL Lights and Installation of Foundations","ITP016 - AGL Removal of Luminaires and Install of foundations - Lot 8"
"b5475f50-fe43-4667-a680-d4ce8cb1dfbf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","AGL","Stage 1.5","Installation of AGL"
"9faacf55-c9ec-4126-b98d-0e00ccedda4d","","checklist-sectioned","work-in-progress","ITP031 - AGL Luminaires Installation","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.5","Installation of AGL","ITP031 - AGL Luminaires Installation"
"7152335e-236b-4d0b-8bb2-982d96b01db6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","AGL","Stage 1.1"
"9d661e26-aa76-48f8-97ee-19bc9eda9ecf","","checklist-sectioned","work-in-progress","ITP031 - AGL Luminaires Installation","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.1","ITP031 - AGL Luminaires Installation - Lot 1"
"6f2d92f7-eb4f-485d-9907-e467dbb0f2d9","","checklist-sectioned","work-in-progress","ITP031 - AGL Luminaires Installation","checklist","FALSE","FALSE","Project QA","AGL","Stage 1.1","ITP031 - AGL Luminaires Installation - Lot 2"
"3202716c-7685-42e7-a5d1-be9a449890d5","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Gate 11"
"e6b0d990-dfbb-4a99-8da1-f48016c2b92e","","checklist-sectioned","not-started","ef250bcf5417f0f579e4f1f012b3cb2756171f1ce5a55c0f920968595d8b4757","checklist","FALSE","FALSE","Project QA","Gate 11","ITP002 - Stripping, Bulk Exc, Fill and Subgrade Pre"
"eecfa585-f37e-412d-978e-97ce73cac5ab","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Airside Passing Bays and Hardstands"
"15a86919-80ba-4598-887f-484f41082587","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 22 Road Widening"
"e337a3ba-c165-4e73-8259-cdecadaf7137","","checklist-sectioned","work-in-progress","ef250bcf5417f0f579e4f1f012b3cb2756171f1ce5a55c0f920968595d8b4757","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 22 Road Widening","ITP002 - Stripping, Bulk Exc, Fill and Subgrade Prep"
"88c1a31e-1ffa-46ae-99a0-ef3e48d93ff0","","checklist-sectioned","not-started","e89452c96e62c86221608b331323dabd12e9a124fd12e91da6c9d1cd3cf58654","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 22 Road Widening","ITP007 - Unbound Pavements"
"eb6de920-3abf-4ff5-8140-98c3989a11ea","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 19 Road Widening"
"2a771630-f1e1-4d53-a0cd-eb90f947ca0f","","checklist-sectioned","not-started","ef250bcf5417f0f579e4f1f012b3cb2756171f1ce5a55c0f920968595d8b4757","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 19 Road Widening","ITP002 - Stripping, Bulk Exc, Fill and Subgrade Prep"
"088c868d-b933-4bc0-9e1a-0361e006ead4","","checklist-sectioned","not-started","e89452c96e62c86221608b331323dabd12e9a124fd12e91da6c9d1cd3cf58654","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Gate 19 Road Widening","ITP007 - Unbound Pavements"
"36961761-a6b0-4a9b-961e-c3056fe98804","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Airside Passing Bays and Hardstands","Hardstand 3"
"7f41f59d-07c3-4d06-b244-718bbc2a3c0b","","checklist-sectioned","not-started","ef250bcf5417f0f579e4f1f012b3cb2756171f1ce5a55c0f920968595d8b4757","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Hardstand 3","ITP002 - Stripping, Bulk Exc, Fill and Subgrade Prep"
"94f94bd8-55eb-45e3-b020-46f9ef15b166","","checklist-sectioned","not-started","e89452c96e62c86221608b331323dabd12e9a124fd12e91da6c9d1cd3cf58654","checklist","FALSE","FALSE","Project QA","Airside Passing Bays and Hardstands","Hardstand 3","ITP007 - Unbound Pavements"
"fe2abfd6-5a77-434c-b37d-ef44d6fbea67","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Delete"
"0d7615d8-8d76-4703-922b-b6e1c36d476f","","checklist-sectioned","not-started","3d1bcc5e53c0b8c71764e4319e18a82f3a1b688776bf5643a0ae74b20309116f","checklist","FALSE","FALSE","Project QA","Delete","ITP001 - Pre Req"
"c8cc2b0f-94e2-422e-857f-f5193d276c48","","checklist-sectioned","not-started","d829a5329d0fd63a6d1e5a0f3fb55f3bc484aaa7820766cd26e2e113592242f7","checklist","FALSE","FALSE","Project QA","Delete","ITP003 - "
"89dbca18-11db-407a-8c92-9a722b43a385","","checklist-sectioned","not-started","9b2aa7cd33bfd97392a3353f73f0da1e03a06e0bb502835fe7c60fcdadeb7508","checklist","FALSE","FALSE","Project QA","Delete","ITP004 - Coarse Aggregates for Asphalt Production"
"8be28eaf-e32a-4dbf-a25e-15209c3c66e2","","checklist-sectioned","not-started","734761a0fbc1f9b4c774da22362d4a76efd931f7df88db208240d78d65449782","checklist","FALSE","FALSE","Project QA","Delete","ITP005 - Cold Planing"
"5cb1b621-7695-499f-9a6e-d3913bba6e6f","","checklist-sectioned","not-started","a6daa6a8454dfd2fb6a50bd41c9c82850f74a66b9cec57cb763e01205e1ccab5","checklist","FALSE","FALSE","Project QA","Delete","ITP006 - Fine Aggregates for Asphalt Production"
"f1cc344a-f5ca-452b-ac9e-7ffdc4b2b79b","","checklist-sectioned","not-started","cd1d83d01f05c2bfc2aa6c8b418ae4c1699bdc925abb60addfd974ec432dd248","checklist","FALSE","FALSE","Project QA","Delete","ITP008 - Pavement Marking"
"58d78ff2-5b0a-4e56-80ae-578d1b63a2e5","","checklist-sectioned","not-started","00d5ab4df548b8b8eaa756ade266e6dc7de4cf8459d38004557fd7a088be466d","checklist","FALSE","FALSE","Project QA","Delete","ITP009 - Runway Grooving of Asphalt Surfacing"
"5599eb85-7d71-4619-80f8-5035d86ff535","","checklist-sectioned","not-started","570f2c588cbd070b6558d5a9de5d710fd4be470a378d3f409f4365dab286454a","checklist","FALSE","FALSE","Project QA","Delete","ITP010 - Prime Coats and Primer Seals"
"452413e4-da76-4798-a949-d4f202c00884","","checklist-sectioned","not-started","73e2dac55e61ef76e9f6328b806dc4cb5cbf4042c98b25d7a5cb236c29a83de9","checklist","FALSE","FALSE","Project QA","Delete","ITP011 - Reclaimed Asphalt Pavement (RAP)"
"b70adc5e-2db2-4554-aef2-c5b1145939b0","","checklist-sectioned","not-started","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Delete","ITP012 - Asphalt Placement"
