"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Building North Progress"
,"Scope",,
,"Rows"
,,"Level 2","grouping","building north","level 2"
,,"Level 5","grouping","level 5","building north"
,,"201-500C10 Circulation",,"level 5","building north","201-500c10 circulation"
,,"201-500C8 Circulation",,"level 5","201-500c8 circulation","building north"
,,"201-500C9 Circulation",,"201-500c9 circulation","level 5","building north"
,,"201-500L4 Lobby",,"201-500l4 lobby","level 5","building north"
,,"201-500L5 Lobby",,"level 5","201-500l5 lobby","building north"
,,"201-500S6 Stair 6",,"201-500s6 stair 6","level 5","building north"
,,"201-560 Riser 7",,"level 5","201-560 riser 7","building north"
,,"201-562 Office",,"level 5","201-562 office","building north"
,,"201-564 Office",,"level 5","201-564 office","building north"
,,"201-566 Office",,"level 5","201-566 office","building north"
,,"201-568 Breakout",,"level 5","building north","201-568 breakout"
,,"201-568A Riser 8",,"201-568a riser 8","level 5","building north"
,,"201-569 Office",,"level 5","201-569 office","building north"
,,"201-570 Office",,"level 5","building north","201-570 office"
,,"201-571 Office",,"201-571 office","level 5","building north"
,,"201-572 Office",,"level 5","building north","201-572 office"
,,"201-573 Office",,"201-573 office","level 5","building north"
,,"201-574 Office",,"level 5","building north","201-574 office"
,,"201-575 Office",,"201-575 office","level 5","building north"
,,"201-576 Office",,"level 5","building north","201-576 office"
,,"201-577 Office",,"level 5","building north","201-577 office"
,,"201-578 Riser 9",,"level 5","building north","201-578 riser 9"
,,"201-580 Print",,"201-580 print","level 5","building north"
,,"201-581 Store",,"201-581 store","level 5","building north"
,,"201-582 One Button",,"level 5","201-582 one button","building north"
,,"201-584 PGR",,"level 5","201-584 pgr","building north"
,,"201-586 Office",,"level 5","201-586 office","building north"
,,"201-588 SOP",,"level 5","201-588 sop","building north"
,,"201-590 DB",,"level 5","201-590 db","building north"
,,"201-590A Comms",,"201-590a comms","level 5","building north"
,,"201-591 Store",,"level 5","building north","201-591 store"
,,"201-592 Control Room",,"level 5","building north","201-592 control room"
,,"201-593 Consult",,"level 5","201-593 consult","building north"
,,"201-594 LRG Consult",,"level 5","201-594 lrg consult","building north"
,,"201-595 Consult",,"level 5","building north","201-595 consult"
,,"201-596 LRG Consult",,"level 5","201-596 lrg consult","building north"
,,"201-597 Consult",,"level 5","building north","201-597 consult"
,,"201-598 Waiting",,"level 5","building north","201-598 waiting"
,,"201-599 Consult",,"201-599 consult","level 5","building north"
,,"Level 6","grouping","level 6","building north"
,,"201-600C8 Circulation",,"level 6","building north","201-600c8 circulation"
,,"201-600L4 Lobby",,"201-600l4 lobby","level 6","building north"
,,"201-600L5 Lobby",,"level 6","building north","201-600l5 lobby"
,,"201-600S5 Stair 5",,"201-600s5 stair 5","level 6","building north"
,,"201-600S6 Stair 6",,"level 6","building north","201-600s6 stair 6"
,,"201-660 Riser 7",,"level 6","building north","201-660 riser 7"
,,"201-661 Archaeology Teaching Lab",,"201-661 archaeology teaching lab","level 6","building north"
,,"201-662 Spatial Lab",,"201-662 spatial lab","level 6","building north"
,,"201-664 Scanner Studio",,"201-664 scanner studio","level 6","building north"
,,"201-666 PHOTOGRAPHY Studio",,"level 6","building north","201-666 photography studio"
,,"201-666A Riser 8",,"level 6","building north","201-666a riser 8"
,,"201-667 Archaeology Process Lab (DIRTY)",,"level 6","building north","201-667 archaeology process lab (dirty)"
,,"201-667A Store",,"level 6","201-667a store","building north"
,,"201-668 Field Store",,"level 6","building north","201-668 field store"
,,"201-670 Artefact Store",,"201-670 artefact store","level 6","building north"
,,"201-671 Research Lab (Clean)",,"level 6","201-671 research lab (clean)","building north"
,,"201-672 Microscopy Lab",,"level 6","building north","201-672 microscopy lab"
,,"201-674 Freezers",,"level 6","building north","201-674 freezers"
,,"201-676 XRF",,"201-676 xrf","level 6","building north"
,,"201-677 Zoo Archeaology Lab",,"201-677 zoo archeaology lab","level 6","building north"
,,"201-678 Riser",,"level 6","building north","201-678 riser"
,,"201-679 Molecular PCI Lab",,"level 6","building north","201-679 molecular pci lab"
,,"201-690 DB",,"201-690 db","level 6","building north"
,,"201-690A Comms",,"201-690a comms","level 6","building north"
,,"Level 7","grouping","building north","level 7"
,,"201-700C8 Circulation",,"201-700c8 circulation","building north","level 7"
,,"201-700L4 Lobby",,"201-700l4 lobby","building north","level 7"
,,"201-700L5 Lobby",,"201-700l5 lobby","building north","level 7"
,,"201-700S6 Stair 6",,"201-700s6 stair 6","building north","level 7"
,,"201-760 Riser 7",,"building north","level 7","201-760 riser 7"
,,"201-761 MDLS",,"201-761 mdls","building north","level 7"
,,"201-762 Plantroom",,"building north","level 7","201-762 plantroom"
,,"201-765 Lobby",,"201-765 lobby","building north","level 7"
,,"201-765A APM Support Lab",,"201-765a apm support lab","building north","level 7"
,,"201-765B Lobby",,"building north","level 7","201-765b lobby"
,,"201-765C ANCIENT PM PC1 Lab",,"201-765c ancient pm pc1 lab","building north","level 7"
,,"201-767 SARLAC Lab",,"201-767 sarlac lab","building north","level 7"
,,"201-771 HUMAN OSTEOLOGY",,"building north","201-771 human osteology","level 7"
,,"201-771A Store",,"201-771a store","building north","level 7"
,,"201-773 Biocultural Research Lab",,"building north","level 7","201-773 biocultural research lab"
,,"201-778 Riser 9",,"201-778 riser 9","building north","level 7"
,,"201-779 Biotechnical Teaching Lab",,"201-779 biotechnical teaching lab","building north","level 7"
,,"201-790 DB",,"201-790 db","building north","level 7"
,,"201-790A Comms",,"201-790a comms","building north","level 7"
,,"? Riser 8",,"? riser 8","building north","level 7"
,,"Level 8","grouping","level 8","building north"
,,"201-862 Plant",,"level 8","201-862 plant","building north"
,,"201-862A Plant",,"level 8","building north","201-862a plant"
,,"201-862B Smoke Extract",,"level 8","201-862b smoke extract","building north"
,,"201-862C Plant",,"level 8","201-862c plant","building north"
,"Columns"
,,"Aluminium Partitions",,"aluminium partitions"
,,"Autex Installation",,"autex installation"
,,"Screw Fix Ceilings",,"screw fix ceilings"
,,"Suspended 2-way Ceiling",,"suspended 2-way ceiling"

"Building East QA Progress"
,"Scope",,
,"Rows"
,,"Level 1 - Zone A","grouping","level 1 - zone a","building east"
,,"Service Access D.159-A",,"level 1 - zone a","service access d.159-a","building east"
,,"201-100C1 Circulation",,"201-100c1 circulation","level 1 - zone a","building east"
,,"201-100C2 Circulation",,"level 1 - zone a","building east","201-100c2 circulation"
,,"201-100C3 Circulation",,"201-100c3 circulation","level 1 - zone a","building east"
,,"201-100C4 Circulation",,"level 1 - zone a","building east","201-100c4 circulation"
,,"201-100E1 Lift 1",,"201-100e1 lift 1","level 1 - zone a","building east"
,,"201-100L2 Lobby",,"201-100l2 lobby","level 1 - zone a","building east"
,,"201-100L3 Lift Lobby",,"level 1 - zone a","building east","201-100l3 lift lobby"
,,"201-100L4 Lift Lobby",,"201-100l4 lift lobby","level 1 - zone a","building east"
,,"201-100L5 Wind Lobby",,"201-100l5 wind lobby","level 1 - zone a","building east"
,,"201-100L6 Lift Lobby",,"level 1 - zone a","building east","201-100l6 lift lobby"
,,"201-100S3 Stair",,"201-100s3 stair","level 1 - zone a","building east"
,,"201-100S4 Stairs",,"level 1 - zone a","building east","201-100s4 stairs"
,,"201-100S5 Stair 5",,"level 1 - zone a","building east","201-100s5 stair 5"
,,"201-101 End of Trip",,"level 1 - zone a","201-101 end of trip","building east"
,,"201-101A Drying",,"level 1 - zone a","building east","201-101a drying"
,,"201-101B ACC",,"level 1 - zone a","building east","201-101b acc"
,,"201-101C SHWR",,"201-101c shwr","level 1 - zone a","building east"
,,"201-101D GN",,"level 1 - zone a","building east","201-101d gn"
,,"201-101E SHWR",,"201-101e shwr","level 1 - zone a","building east"
,,"201-101F GN",,"201-101f gn","level 1 - zone a","building east"
,,"201-101G SHWR",,"201-101g shwr","level 1 - zone a","building east"
,,"201-101H GN",,"level 1 - zone a","201-101h gn","building east"
,,"201-101J SHWR",,"201-101j shwr","level 1 - zone a","building east"
,,"201-101K GN",,"level 1 - zone a","building east","201-101k gn"
,,"201-107 DB",,"level 1 - zone a","building east","201-107 db"
,,"201-109 Reuse and Recycling",,"level 1 - zone a","building east","201-109 reuse and recycling"
,,"201-111 Breakout 1",,"level 1 - zone a","building east","201-111 breakout 1"
,,"201-112 MECO/Black Box",,"201-112 meco/black box","level 1 - zone a","building east"
,,"201-112A Store",,"201-112a store","level 1 - zone a","building east"
,,"201-113 Breakout 2",,"level 1 - zone a","building east","201-113 breakout 2"
,,"201-120 Studio",,"201-120 studio","level 1 - zone a","building east"
,,"201-120A Store",,"201-120a store","level 1 - zone a","building east"
,,"201-120B Store",,"level 1 - zone a","building east","201-120b store"
,,"201-121 EDSW Studio",,"201-121 edsw studio","level 1 - zone a","building east"
,,"201-122 EDSW Performing Arts",,"level 1 - zone a","201-122 edsw performing arts","building east"
,,"201-122A Store",,"level 1 - zone a","building east","201-122a store"
,,"201-123 Breakout",,"level 1 - zone a","building east","201-123 breakout"
,,"201-124 COMMS",,"level 1 - zone a","building east","201-124 comms"
,,"201-130 CAI Dance Studio 1",,"201-130 cai dance studio 1","level 1 - zone a","building east"
,,"201-132 CAI Dance Studio 2",,"201-132 cai dance studio 2","level 1 - zone a","building east"
,,"201-133 CLNR",,"201-133 clnr","level 1 - zone a","building east"
,,"201-134 Services",,"level 1 - zone a","201-134 services","building east"
,,"201-140 Breakout",,"level 1 - zone a","201-140 breakout","building east"
,,"201-140A Postgraduate Practice Studio",,"201-140a postgraduate practice studio","level 1 - zone a","building east"
,,"201-140B Postgraduate",,"201-140b postgraduate","level 1 - zone a","building east"
,,"201-140C Kitchen",,"201-140c kitchen","level 1 - zone a","building east"
,,"201-140D Store",,"level 1 - zone a","building east","201-140d store"
,,"201-153 DB",,"level 1 - zone a","building east","201-153 db"
,,"201-155 ACC",,"level 1 - zone a","building east","201-155 acc"
,,"201-156 GN",,"level 1 - zone a","building east","201-156 gn"
,,"201-157 Male",,"level 1 - zone a","building east","201-157 male"
,,"201-158 Female",,"201-158 female","level 1 - zone a","building east"
,,"201-161 Store",,"level 1 - zone a","building east","201-161 store"
,,"201-190 Fire Pump Room",,"level 1 - zone a","building east","201-190 fire pump room"
,,"201-191 Bike Store",,"201-191 bike store","level 1 - zone a","building east"
,,"201-192 Plant Room",,"level 1 - zone a","building east","201-192 plant room"
,,"201-192A HV Switchroom",,"level 1 - zone a","201-192a hv switchroom","building east"
,,"201-192B Transformer Room",,"level 1 - zone a","201-192b transformer room","building east"
,,"Level 2 - Zone A","grouping","building east","level 2 - zone a"
,,"201-112 MECO/Blackbox",,"building east","level 2 - zone a","201-112 meco/blackbox"
,,"201-120 Studio",,"201-120 studio","building east","level 2 - zone a"
,,"201-122 EDSW Performing Arts",,"201-122 edsw performing arts","building east","level 2 - zone a"
,,"201-130 CAI Dance Studio 1",,"201-130 cai dance studio 1","building east","level 2 - zone a"
,,"201-132 CAI Dance Studio 1",,"building east","201-132 cai dance studio 1","level 2 - zone a"
,,"201-200C1 Circulation",,"building east","level 2 - zone a","201-200c1 circulation"
,,"201-200C2 Circulation",,"building east","level 2 - zone a","201-200c2 circulation"
,,"201-200C3 Circulation",,"building east","level 2 - zone a","201-200c3 circulation"
,,"201-200C4 Circulation",,"building east","level 2 - zone a","201-200c4 circulation"
,,"201-200C5 Circulation",,"building east","level 2 - zone a","201-200c5 circulation"
,,"201-200C6 Circulation",,"building east","level 2 - zone a","201-200c6 circulation"
,,"201-200E1 Lift 1",,"201-200e1 lift 1","building east","level 2 - zone a"
,,"201-200E2 Lift 2",,"building east","level 2 - zone a","201-200e2 lift 2"
,,"201-200E3 Lift 3",,"201-200e3 lift 3","building east","level 2 - zone a"
,,"201-200E4 Lift 4",,"201-200e4 lift 4","building east","level 2 - zone a"
,,"201-200E5 Lift 5",,"building east","201-200e5 lift 5","level 2 - zone a"
,,"201-200L3 Lift Lobby",,"201-200l3 lift lobby","building east","level 2 - zone a"
,,"201-200L4 Lift Lobby",,"201-200l4 lift lobby","building east","level 2 - zone a"
,,"201-200L5 Lift Lobby",,"building east","level 2 - zone a","201-200l5 lift lobby"
,,"201-200L6 Lobby",,"201-200l6 lobby","building east","level 2 - zone a"
,,"201-200S3 Stair 3",,"building east","level 2 - zone a","201-200s3 stair 3"
,,"201-200S4 Stair 4",,"201-200s4 stair 4","building east","level 2 - zone a"
,,"201-200S5 Stair 5",,"201-200s5 stair 5","building east","level 2 - zone a"
,,"201-201 Rehearsal Studio",,"building east","level 2 - zone a","201-201 rehearsal studio"
,,"201-205 CLNR",,"building east","201-205 clnr","level 2 - zone a"
,,"201-206 CLNR",,"201-206 clnr","building east","level 2 - zone a"
,,"201-207 Services",,"201-207 services","building east","level 2 - zone a"
,,"201-207-A DB",,"building east","level 2 - zone a","201-207-a db"
,,"201-211 Room 1",,"201-211 room 1","building east","level 2 - zone a"
,,"201-213 Room 2",,"building east","level 2 - zone a","201-213 room 2"
,,"201-214 Store",,"building east","level 2 - zone a","201-214 store"
,,"201-215 Room 3",,"201-215 room 3","building east","level 2 - zone a"
,,"201-216 Recording",,"201-216 recording","building east","level 2 - zone a"
,,"201-217 Breakout",,"building east","level 2 - zone a","201-217 breakout"
,,"201-217A Kitchen",,"building east","level 2 - zone a","201-217a kitchen"
,,"201-218 Breakout",,"201-218 breakout","building east","level 2 - zone a"
,,"201-220 Print",,"201-220 print","building east","level 2 - zone a"
,,"201-222 Store",,"building east","201-222 store","level 2 - zone a"
,,"201-224 Comms",,"201-224 comms","building east","level 2 - zone a"
,,"201-231 Breakout",,"building east","level 2 - zone a","201-231 breakout"
,,"201-233 Meeting",,"building east","level 2 - zone a","201-233 meeting"
,,"201-240 PGR",,"201-240 pgr","building east","level 2 - zone a"
,,"201-240A Office",,"201-240a office","building east","level 2 - zone a"
,,"201-240B Office",,"201-240b office","building east","level 2 - zone a"
,,"201-240C Office",,"201-240c office","building east","level 2 - zone a"
,,"201-240D Print",,"building east","level 2 - zone a","201-240d print"
,,"201-240E Office",,"201-240e office","building east","level 2 - zone a"
,,"201-240F Office",,"building east","level 2 - zone a","201-240f office"
,,"201-240G Office",,"201-240g office","building east","level 2 - zone a"
,,"201-240H Office",,"building east","level 2 - zone a","201-240h office"
,,"201-240J Office",,"building east","201-240j office","level 2 - zone a"
,,"201-240K Office",,"201-240k office","building east","level 2 - zone a"
,,"201-240L Office",,"building east","level 2 - zone a","201-240l office"
,,"201-250 Riser 5",,"201-250 riser 5","building east","level 2 - zone a"
,,"201-253 DB",,"building east","level 2 - zone a","201-253 db"
,,"201-255 ACC",,"201-255 acc","building east","level 2 - zone a"
,,"201-257 Male",,"201-257 male","building east","level 2 - zone a"
,,"201-258 Female",,"building east","201-258 female","level 2 - zone a"
,,"201-259 Service Access",,"201-259 service access","building east","level 2 - zone a"
,,"(?) Ramp 3",,"(?) ramp 3","building east","level 2 - zone a"
,,"Level 2 - Zone B","grouping","building east","level 2 - zone b"
,,"01-200E6 Lift 6",,"01-200e6 lift 6","building east","level 2 - zone b"
,,"201-200S2 Stair 2",,"201-200s2 stair 2","building east","level 2 - zone b"
,,"201-293 Lecture Theater",,"201-293 lecture theater","building east","level 2 - zone b"
,,"201-293B Store Room",,"201-293b store room","building east","level 2 - zone b"
,,"201-295 MSB Room",,"building east","201-295 msb room","level 2 - zone b"
,,"201-296A BOH",,"building east","201-296a boh","level 2 - zone b"
,,"201-297 Lecture Theater",,"201-297 lecture theater","building east","level 2 - zone b"
,,"201-297A Riser 8",,"201-297a riser 8","building east","level 2 - zone b"
,,"Level 3 - Zone A","grouping","level 3 - zone a","building east"
,,"201-300C10 Circulation",,"level 3 - zone a","201-300c10 circulation","building east"
,,"201-300C6 Circulation",,"level 3 - zone a","201-300c6 circulation","building east"
,,"201-300C7 Circulation",,"level 3 - zone a","building east","201-300c7 circulation"
,,"201-300C8 Circulation",,"level 3 - zone a","201-300c8 circulation","building east"
,,"201-300C9 Circulation",,"level 3 - zone a","building east","201-300c9 circulation"
,,"201-300E1 Lift 1",,"level 3 - zone a","201-300e1 lift 1","building east"
,,"201-300E2 Lift 2",,"level 3 - zone a","building east","201-300e2 lift 2"
,,"201-300E3 Lift 3",,"level 3 - zone a","building east","201-300e3 lift 3"
,,"201-300E4 Lift 4",,"level 3 - zone a","201-300e4 lift 4","building east"
,,"201-300E5 Lift 5",,"level 3 - zone a","building east","201-300e5 lift 5"
,,"201-300L3 Lift Lobby",,"level 3 - zone a","201-300l3 lift lobby","building east"
,,"201-300L4 Lift Lobby",,"level 3 - zone a","building east","201-300l4 lift lobby"
,,"201-300L5 Lift Lobby",,"level 3 - zone a","building east","201-300l5 lift lobby"
,,"201-300S3 Stair 3",,"level 3 - zone a","building east","201-300s3 stair 3"
,,"201-300S4 Stair 4",,"level 3 - zone a","201-300s4 stair 4","building east"
,,"201-300S5 Stair 5",,"level 3 - zone a","building east","201-300s5 stair 5"
,,"201-301 SHWR",,"level 3 - zone a","201-301 shwr","building east"
,,"201-302 ACC",,"level 3 - zone a","201-302 acc","building east"
,,"201-303 Female",,"level 3 - zone a","201-303 female","building east"
,,"201-304 CLNR",,"level 3 - zone a","building east","201-304 clnr"
,,"201-305 Service Access",,"level 3 - zone a","201-305 service access","building east"
,,"201-306 Male",,"level 3 - zone a","building east","201-306 male"
,,"201-307 DB",,"level 3 - zone a","201-307 db","building east"
,,"201-308 Riser 3",,"level 3 - zone a","201-308 riser 3","building east"
,,"201-310 Cleaners",,"level 3 - zone a","building east","201-310 cleaners"
,,"201-311 Pool Teaching 74p",,"level 3 - zone a","building east","201-311 pool teaching 74p"
,,"201-311A Riser 2",,"level 3 - zone a","building east","201-311a riser 2"
,,"201-312 Breakout",,"level 3 - zone a","201-312 breakout","building east"
,,"201-317 Pool Teaching 42p",,"level 3 - zone a","201-317 pool teaching 42p","building east"
,,"201-320 PC Computer Lab",,"level 3 - zone a","201-320 pc computer lab","building east"
,,"201-321 Breakout",,"level 3 - zone a","building east","201-321 breakout"
,,"201-324 Comms",,"level 3 - zone a","building east","201-324 comms"
,,"201-325 Breakout",,"level 3 - zone a","201-325 breakout","building east"
,,"201-326 Pool Teaching 48p",,"level 3 - zone a","building east","201-326 pool teaching 48p"
,,"201-327 Breakout",,"level 3 - zone a","201-327 breakout","building east"
,,"201-328 Breakout",,"level 3 - zone a","building east","201-328 breakout"
,,"201-329 Breakout",,"level 3 - zone a","building east","201-329 breakout"
,,"201-330 MAC Computer Lab",,"level 3 - zone a","201-330 mac computer lab","building east"
,,"201-330A Server",,"level 3 - zone a","201-330a server","building east"
,,"201-333 Breakout",,"level 3 - zone a","building east","201-333 breakout"
,,"201-334 Pool Teaching 48p",,"level 3 - zone a","201-334 pool teaching 48p","building east"
,,"201-335 Breakout",,"level 3 - zone a","building east","201-335 breakout"
,,"201-337 Breakout",,"level 3 - zone a","building east","201-337 breakout"
,,"201-339 Breakout",,"level 3 - zone a","201-339 breakout","building east"
,,"201-341 Pool Teaching 42p",,"level 3 - zone a","201-341 pool teaching 42p","building east"
,,"201-342 Pool Teaching 76p",,"level 3 - zone a","building east","201-342 pool teaching 76p"
,,"201-342A Riser 5",,"level 3 - zone a","201-342a riser 5","building east"
,,"201-353 DB",,"level 3 - zone a","building east","201-353 db"
,,"201-354 Riser 6",,"level 3 - zone a","201-354 riser 6","building east"
,,"201-355 ACC",,"level 3 - zone a","201-355 acc","building east"
,,"201-357 Male",,"level 3 - zone a","building east","201-357 male"
,,"201-358 Female",,"level 3 - zone a","201-358 female","building east"
,,"201-359 Service Access",,"level 3 - zone a","building east","201-359 service access"
,,"Ramp 4 (Existing)",,"level 3 - zone a","ramp 4 (existing)","building east"
,,"(?) Riser 4",,"level 3 - zone a","building east","(?) riser 4"
,,"Level 3 - Zone B","grouping","building east","level 3 - zone b"
,,"201-300C1 Circulation",,"building east","201-300c1 circulation","level 3 - zone b"
,,"201-300C2 Circulation",,"201-300c2 circulation","building east","level 3 - zone b"
,,"201-300C3 Circulation",,"building east","201-300c3 circulation","level 3 - zone b"
,,"201-300C4 Circulation",,"201-300c4 circulation","building east","level 3 - zone b"
,,"201-300C5 Circulation",,"building east","201-300c5 circulation","level 3 - zone b"
,,"201-300E6 Lift 6",,"building east","201-300e6 lift 6","level 3 - zone b"
,,"201-300L1 Wind Lobby",,"building east","level 3 - zone b","201-300l1 wind lobby"
,,"201-300L2 WC Lobby",,"201-300l2 wc lobby","building east","level 3 - zone b"
,,"201-300S1 Stair 1",,"201-300s1 stair 1","building east","level 3 - zone b"
,,"201-3100 Femaile Toilet",,"building east","level 3 - zone b","201-3100 femaile toilet"
,,"201-3110 Air Intake - Riser 1",,"building east","201-3110 air intake - riser 1","level 3 - zone b"
,,"201-391 Breakout",,"building east","level 3 - zone b","201-391 breakout"
,,"201-392 Breakout",,"building east","level 3 - zone b","201-392 breakout"
,,"201-393 Lecture Theater",,"201-393 lecture theater","building east","level 3 - zone b"
,,"201-393A Comms Room",,"building east","level 3 - zone b","201-393a comms room"
,,"201-394 Breakout",,"building east","201-394 breakout","level 3 - zone b"
,,"201-395 Breakout",,"201-395 breakout","building east","level 3 - zone b"
,,"201-395A Riser",,"building east","level 3 - zone b","201-395a riser"
,,"201-396 (Plant Room)",,"building east","201-396 (plant room)","level 3 - zone b"
,,"201-397 Student Kitchen",,"building east","201-397 student kitchen","level 3 - zone b"
,,"201-398 Male Toilet",,"building east","level 3 - zone b","201-398 male toilet"
,,"201-399 C. C/BD",,"building east","level 3 - zone b","201-399 c. c/bd"
,,"2201-494 DB",,"building east","2201-494 db","level 3 - zone b"
,,"(?) Riser 8",,"building east","(?) riser 8","level 3 - zone b"
,,"(?) VOID",,"building east","(?) void","level 3 - zone b"
,,"Level 4 - Zone A","grouping","building east","level 4 - zone a"
,,"201-400C5 Circulation",,"201-400c5 circulation","building east","level 4 - zone a"
,,"201-400C6 Circulation",,"201-400c6 circulation","building east","level 4 - zone a"
,,"201-400C7 Breakout",,"201-400c7 breakout","building east","level 4 - zone a"
,,"201-400C9 Circulation",,"201-400c9 circulation","building east","level 4 - zone a"
,,"201-400E1 Lift 1",,"building east","level 4 - zone a","201-400e1 lift 1"
,,"201-400E2 Lift 2",,"201-400e2 lift 2","building east","level 4 - zone a"
,,"201-400E3 Lift 3",,"201-400e3 lift 3","building east","level 4 - zone a"
,,"201-400E4 Lift 4",,"building east","201-400e4 lift 4","level 4 - zone a"
,,"201-400E5 Lift 5",,"building east","201-400e5 lift 5","level 4 - zone a"
,,"201-400L3 Lift Lobby",,"building east","level 4 - zone a","201-400l3 lift lobby"
,,"201-400L4 Lift Lobby",,"building east","201-400l4 lift lobby","level 4 - zone a"
,,"201-400L5 Lift Lobby",,"201-400l5 lift lobby","building east","level 4 - zone a"
,,"201-400S4 Stair 4",,"201-400s4 stair 4","building east","level 4 - zone a"
,,"201-401 SHWR",,"201-401 shwr","building east","level 4 - zone a"
,,"201-402 ACC",,"building east","201-402 acc","level 4 - zone a"
,,"201-403 Female",,"201-403 female","building east","level 4 - zone a"
,,"201-404 CLNR",,"201-404 clnr","building east","level 4 - zone a"
,,"201-405 Service Access",,"building east","201-405 service access","level 4 - zone a"
,,"201-406 Male",,"201-406 male","building east","level 4 - zone a"
,,"201-408 Riser 3",,"building east","201-408 riser 3","level 4 - zone a"
,,"201-411 Office",,"201-411 office","building east","level 4 - zone a"
,,"201-412 Office",,"201-412 office","building east","level 4 - zone a"
,,"201-413 Office",,"201-413 office","building east","level 4 - zone a"
,,"201-414 Office",,"201-414 office","building east","level 4 - zone a"
,,"201-415 Office",,"201-415 office","building east","level 4 - zone a"
,,"201-416 Meeting",,"building east","201-416 meeting","level 4 - zone a"
,,"201-417 Shared Open Plan",,"building east","201-417 shared open plan","level 4 - zone a"
,,"201-417A Riser 2",,"building east","201-417a riser 2","level 4 - zone a"
,,"201-418 Meeting",,"building east","201-418 meeting","level 4 - zone a"
,,"201-419 Meeting",,"building east","201-419 meeting","level 4 - zone a"
,,"201-420 Print",,"201-420 print","building east","level 4 - zone a"
,,"201-424 Comms",,"building east","201-424 comms","level 4 - zone a"
,,"201-425 Breakout",,"building east","201-425 breakout","level 4 - zone a"
,,"201-426 Student Print",,"building east","level 4 - zone a","201-426 student print"
,,"201-428 Staff Meeting",,"201-428 staff meeting","building east","level 4 - zone a"
,,"201-430 Breakout",,"201-430 breakout","building east","level 4 - zone a"
,,"201-435 Breakout",,"building east","201-435 breakout","level 4 - zone a"
,,"201-439 Breakout",,"201-439 breakout","building east","level 4 - zone a"
,,"201-440 Large Format Teaching 137p",,"building east","201-440 large format teaching 137p","level 4 - zone a"
,,"201-440A Riser 5",,"building east","201-440a riser 5","level 4 - zone a"
,,"201-452 Store",,"building east","level 4 - zone a","201-452 store"
