"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f1ec6e51-e50e-45f1-a8ed-a4a466a7ebda","","folder-normal","pass","","step","TRUE","FALSE","Main building"
"4143921c-5eaf-428d-bbe8-48dd2ad5d81b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Main building","Basement 1"
"f55012a4-f9b2-4fc4-89b3-ecfa3aa69a7c","","folder-normal","pass","","step","TRUE","FALSE","Main building","Level 1"
"87757416-1d7f-4004-8e83-54aea748c6db","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-11"
"76b2a27d-e7ec-48d2-942a-3e0bdddc8583","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-12"
"665ce6e3-66fa-4c90-b963-5e30ad3cf555","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-13"
"de764df4-b853-4999-90c7-d46d2c1991b4","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-14"
"9a6b5364-80cb-4fd2-8767-f6f63e7016a7","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-15"
"d0d540ef-2f2f-4e65-a011-a53ea4ca7300","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-16"
"f31dd95e-9f81-41b4-8a5c-b92080120eee","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-17"
"44be6af2-1a0c-4099-aaf3-41b3cc4d25af","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-18"
"0155a300-9b82-45a2-94a1-d9d9d2d7af67","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-19"
"888462c5-d9a1-4f3d-b81c-0e329d2924a2","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-21"
"a97e6734-68db-47a3-901e-183c96931a46","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-23"
"ce72ada9-33c7-4f2e-ae40-2786122020c1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-24"
"078c5604-3d00-4e11-a02b-9167d29384e5","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-25"
"e8cd432c-c410-43a8-92c0-f7cc17b322f1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-26"
"ebfc59d4-86b0-4d91-b0e4-02495b32f973","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-27"
"78a155fa-0c9e-4172-8dee-eb76a4b2c228","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-28"
"217ad692-2dca-4895-9d87-ede426dba2d1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-29"
"e89cfe6b-68ba-4f61-9c91-525f060ba5a5","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-30"
"60c53b97-9878-4fa0-b5d0-4c83d448cb12","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-31"
"42f91f47-d81b-4ba1-991a-c37ad2cfd3da","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-32"
"b11c7f12-35d6-4116-aef0-cdfede2471a3","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-33"
"4f6b0130-8238-45d4-a9ac-d581cbc19b51","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-34"
"ddf253ae-43cd-407e-af60-a884fffb4d68","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-35"
"940e4761-0fe9-4c31-a1a9-ba12e5108277","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-36"
"e037fbbb-5996-44a7-9bf6-a27293099645","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-37"
"6461e138-0f9a-4d0a-8161-6de18630987e","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-38"
"2cdffc51-5e10-41f5-af18-e20c4d964b5b","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-39"
"96fba747-342d-4696-b25d-c75c5750386d","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-40"
"b87d9e63-a4c1-4415-9373-1cec23dddea1","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-41"
"b5b7fbe4-9ad0-44da-95bb-a467b996cdb4","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-42"
"ac2a651c-c127-41f3-8310-3cddc68ee581","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-43"
"ab22453b-638d-4078-8301-83e042e9783e","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-44"
"6d1f3af8-6bf6-4531-b1d8-43f8cf07ec5e","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-45"
"478e1b60-f604-4d38-81c6-1e9259a452ce","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-46"
"f6a06691-9464-4726-a867-a0f48ad62db4","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-47"
"b20c695c-7666-4c99-8ca7-d02ad27827c7","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-48"
"ede9f2af-9556-4420-a3db-0de403ee5194","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-66"
"c2e32587-d13f-4852-8eff-524c17bc906c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-67"
"ee110ea0-886e-4d0e-8883-fc85242f1f40","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-68"
"e5f696c1-9ca7-4745-84de-636fafd758dc","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-69"
"5393fbc2-a111-4af8-9137-2c752d3d5ecb","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-70"
"cee1f7ac-efa2-48fa-a13f-30bd52936205","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-71"
"2bea165f-c754-41ec-a0ad-1fea5345c90e","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Main building","Level 1","L1-BA73"
"f564e914-b555-4f5c-afeb-d4f34df0310b","","folder-normal","pass","","step","TRUE","FALSE","Main building","Level 2"
"fdedfe17-d9a9-4dfb-9a66-68e37a460d17","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-01"
"60c675d4-c7d3-4fb8-aaac-1d2e0b105f9c","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-03"
"a703a7a7-fbd3-44c1-a598-d38d506977b8","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-04"
"cd3a3032-182a-4d28-ad78-13a67db703ac","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-06"
"932ee154-a185-4be3-ad8a-8835d1c1b550","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-07"
"038fa161-e806-45ac-809c-fed8fae439b8","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-08"
"0f6ffbfd-cc0e-4b90-b2ad-9efedf114efb","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-09"
"efe1a796-8242-416a-a5ff-11665499ff1a","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-10"
"abe53821-26df-40b0-9141-b27b83d9768b","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-11"
"9f03237e-4be1-4225-932f-ba4266e27588","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-12"
"21695cd9-c278-4ae1-9fd3-30eb52222605","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-14"
"09cbfd66-dc8e-4577-acb2-0eefbb241e42","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-16"
"e2ead01a-c9cf-41d3-b795-87a71ca2d44e","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-18"
"51f385d5-736e-46c4-b96f-cf51fd8940aa","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-19"
"89fc0d00-c861-4ab1-a793-2674be910a84","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-20"
"fa8a0c6c-5158-4177-ae87-5a43ce1e34eb","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-21"
"9f076815-7e05-4151-963f-58dcb39fc143","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-22"
"95531789-35d8-41e7-be9d-9b79ee278d30","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-27"
"a9aae6d1-7a83-42e3-9d5b-b5d277ab23f2","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-39"
"057629db-eb58-44bf-8ad9-02f80efd3f86","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-40"
"fa8f01b0-3247-470c-86db-973865dc9939","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-43"
"37be33a6-7334-476c-93d4-4d5554dc6ed2","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-45"
"d80e5d38-b087-4ccb-b344-213d97111a88","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-47"
"0d481135-0cfe-40eb-93d1-939d5a2615d8","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-49"
"62ba0b50-b50e-44e1-b3c0-be70ec5cf51c","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-65"
"0b2cacd7-7152-4789-a2ec-14f1d9fd1049","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-67"
"80d3ce17-68ad-45b4-b4d7-8525d8418ed6","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-69"
"d228d22e-b516-4463-9a95-eda39d68bceb","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-71"
"1d9b0cee-e2d0-4298-8c42-ff6039e18f56","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-74"
"ca952e58-a47d-404f-9cca-5c003837d8a5","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-76"
"430b8533-cfe0-4696-b729-38a55bed8a48","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-77"
"57252299-380d-49a4-adee-86d8106ddfd4","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-79"
"72da07aa-176f-409a-aff3-1bd534a4b126","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-82"
"aeb1d5dc-465b-4d70-92a5-42498c376c14","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-83"
"fefc2fcc-e02c-41eb-9886-97f882f1de3d","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-84"
"41481cc6-2787-497d-9e19-1e2f0597fd9c","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Main building","Level 2","L2-85"
"ac9e23d4-22df-4c55-84f8-1fe75f2e3d15","","folder-normal","pass","","step","TRUE","FALSE","Main building","Level 3"
"fd265452-7782-4821-b9bd-e09420747308","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-01"
"1cad05f7-b734-4606-8982-2e3fde2472bb","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-03"
"c949a897-099d-46ed-b265-264edb6cffc2","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-04"
"368c7a8f-581e-4f4c-81e0-6a319ad0adf0","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-06"
"e2314642-a2df-4b34-877d-b29c0f29c674","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-12"
"f936548c-4071-44c5-b149-838320eee64e","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-14"
"5cf94e8f-6ec8-4f4c-bb0b-577f674f53a9","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-16"
"b6aca890-2892-46fc-a054-a3e986c6d5c7","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-18"
"5bd6759e-d552-4b6b-b109-5c3cef73ccab","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-19"
"79bfb4a2-00bb-4424-8d92-ebba286a40ca","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-21"
"ce5b5546-b0f1-43fe-89ec-00a77afd5534","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-23"
"27ceb117-86f4-4c45-bf64-18d1f3c8ef7b","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-24"
"dd21eca2-e3ec-488b-8698-2e1018fbd10b","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-25"
"ae901d6a-226d-49c6-8d83-8fadc06dbe89","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-26"
"37fc04f2-ef95-4c4e-a3c2-c2857e0fbf1e","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-27"
"ec8da108-14d5-4cf3-ae8b-7e168fcd6e0a","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-30"
"d7d32283-1f65-46ac-900a-298a8196cfe2","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-33"
"bfd7cfb7-17c5-4832-849f-28305ed1e150","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-49"
"e7cb98ac-bc30-444b-8c6f-800ca7259af9","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-50"
"299bf140-47df-448d-90ef-77f4c5b48a32","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-51"
"7bc7d8e0-b688-4743-918d-81e0f2e86318","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-52"
"a59436d2-9c02-4e84-a19f-601a1bbbc8ee","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-53"
"2a08c4cb-7d94-4a98-936b-2ae8fa28dada","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-54"
"7e8ee22c-a9b2-46a3-bbc4-59e177cb5397","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-55"
"02c0a8a2-11ff-48fd-816e-e4cb4afe63e4","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-56"
"6e1cd24c-1b35-4ab6-a465-974b9be30928","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-57"
"3d693c00-e2b7-48cd-9ffa-e5854186b08b","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-58"
"c976d9a1-fe5e-4335-acb8-30ae80f741ad","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-59"
"578e250a-1c6e-4348-b93c-88540f393997","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-60"
"b9e79e7e-7a9d-4fa0-982b-4e054aa986d3","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-61"
"4b61352e-bca9-4fb6-8387-d168baf08600","","checklist-sectioned","pass","5d3ba4c83abecc8a4c0dc265c2ad34314bf0da4f45289fcc50feb93355eea0f7","checklist","FALSE","FALSE","Main building","Level 3","L3-62"
