"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d37487c8-c344-4e4e-9b93-bd5070665333","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.33.E"
"061da26f-243c-4993-90d2-9fedd5451354","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.34.D"
"30b3ece6-6535-4546-a283-817f8c735d00","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.35.E"
"cfddab52-23f3-4ef0-865f-5a0d70b51e4b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.36.F1"
"24e1cec8-a8a5-4337-8d13-1e668a18cbeb","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.37.E"
"fb808314-0314-4533-901f-ed406fbcd5ed","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.38.D"
"e8461839-7815-42e5-a9d1-7a66bd58564b","","folder-normal","not-started","","step","TRUE","FALSE","Level 03"
"27d4bc62-5cf2-412d-b55a-0172dacc063e","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse North"
"cbda0a5a-7365-4c20-8b77-bcffc02d7088","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.01.J1"
"9f1d9f77-4a43-40e3-a191-6453230b603b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.02.D"
"44375108-cef2-4f72-95b8-a09107cbc57f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.03.J"
"cdce93f5-6850-4f09-8d5a-778a25fce6de","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.04.K"
"4b4800e3-ff69-4c70-9d4c-340fcc1bbe4e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.05.D"
"834b07ac-3e90-46ea-8deb-bbea426c38cc","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.06.J"
"8670de00-da6b-4a32-84d1-f2720b08fee3","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.07.K"
"adcdb2c1-dc40-4059-b9ce-9ed808ab1130","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.08.D"
"0153658b-2b01-49c8-85da-5b82bf721dcc","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.09.J"
"60ab0914-c1a9-4cdf-9e74-01869308927a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.10.K"
"c2451743-2564-4d55-ba56-d46b85655418","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.11.D"
"ceb4efb8-c6cb-4052-a92f-05bc43aedfae","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.12.J"
"db9d3477-9a86-41e0-af57-b4d84f71808b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.13.K"
"9beafd86-bd1f-4334-9d00-91356f68d599","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.14.D"
"7219cfde-f760-4acb-be3c-a3387d17607c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.15.J"
"e9a5f43b-9990-4633-b20d-d47d37548e30","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.16.K"
"05c0ee97-5aaf-4ae7-9c83-547690a9fc1c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.17.D"
"f9a724eb-1472-4da8-9c9e-e19f7b17e5b0","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.18.J"
"9acd4042-9d05-4b63-af1a-79c2dc650b62","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.19.K"
"34275e81-35ce-4c22-9bb8-8baea111a628","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.20.L"
"d2fe1ae4-3bf7-45db-9346-39f8e5b62476","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.21.I"
"122ea44e-0e3e-4739-912c-0cd98e8be3d6","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse East"
"01b3f4b0-1dee-4482-b022-70b2bd13dca7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.22.M"
