"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d177e434-3dad-47a5-acc0-170f4778435e","","work-in-progress","","folder","TRUE","FALSE","Walls"
"d8809cad-5900-496f-801c-8d6c2f137a8c","","work-in-progress","","folder","TRUE","FALSE","Walls","North/West Section"
"9b378099-a422-4e42-8ecc-aa8424c1d7c2","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","North/West Section","7.1.1 - Pilaster - P2x1 - Precast - Precast Installation"
"6eb24640-37ec-48ef-b340-428b40ddf468","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","North/West Section","7.1.2 - Wall Panels - W1x3, W2x1, W3x1 - Precast - Precast Installation"
"9426f321-53d8-49ff-bee4-03d8bbf1bef0","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","North/West Section","7.1.3 - Insitu Joins x6 - Precast Installation"
"d758edfa-f6e0-46db-b034-58e1a0eb97cb","","work-in-progress","","folder","TRUE","FALSE","Walls","South/West Section"
"ccc6ca7c-64f0-4083-be49-1593a160ad06","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/West Section","7.2.1 - Pilaster - P1x1 - Precast - Precast Installation"
"29445ee7-6ac1-44cd-bf09-6171b95bfaa0","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/West Section","7.2.2 - Wall Panels - W1x5 - Precast - Precast Installation"
"3193a7e0-93ed-46ec-af00-d28ffed0a243","","work-in-progress","FHIMS-QA-6040-ITP-Precast Installation","checklist","FALSE","FALSE","Walls","South/West Section","7.2.3 - Insitu Joins x6 - Precast Installation"
"a775502c-1b25-4b5e-9983-367f6221912e","","work-in-progress","","folder","TRUE","FALSE","Walls","South/East Section"
