"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"732aee84-4fa5-452a-8968-20b17b4700cd","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"38305679-ec3c-431c-bd08-23e1e8c2558c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1"
"324be19d-fdfe-40aa-ae1f-45be6db10640","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1"
"43efa462-0b95-4aac-8423-f7d3f9c85dd3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 101"
"f00caa29-aa4d-4291-9932-447fa53f1985","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Laundry Floors"
"568d8580-a4e8-46eb-8162-1a75688bfc8c","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Kitchen Floors"
"273fccf4-9050-447c-a576-b113e8e9384d","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Walls"
"40d3f4fd-460c-4e35-92a7-1fb340d02d55","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Splashback"
"cd148e32-eaab-45dc-8a1d-7ff85f7e42c2","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Balcony Floor"
"de8f1441-c0c8-4a3d-960d-52d3f34a21a8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 107"
"50086292-8bf7-4dab-8632-d8dffd153ed9","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Bathroom Floors"
"2127ede9-31e2-44fd-bd99-61ee44b3f58b","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Laundry Floors"
"936dd8a6-9556-4789-9d59-7cbea5fa035e","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Kitchen Floors"
"8d8531fd-f7e1-4679-9e27-26c2651d88d4","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Walls"
"9fd275be-2c51-4295-a05d-31954daec080","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Splashback"
"86096cda-fb5a-46dc-9371-f84b112f6fee","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 107","Balcony Floor"
"10517fff-3dba-409e-adf9-fa16f1b7696f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 108"
"4d8ae101-726b-4cf4-8d96-417b1be60f89","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Bathroom Floors"
"3f089aab-93e0-4c6e-8898-07c1603b9ae2","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Laundry Floors"
"e64ff864-86c0-4dd0-ae3f-c6099d718e75","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Kitchen Floors"
"91c71e20-032b-4c5e-adb2-ba4552fcf5b3","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Walls"
"3d7b3a70-ca0b-404c-a08a-45f3cca3381b","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Splashback"
"ee4ed4b7-ee4b-412f-94d0-a5ee3c31af53","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 108","Balcony Floor"
"229d37df-cbc1-4709-977d-e1a7bf8db7c8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2"
"8f11079f-fcc3-4573-9281-c74fdde642ae","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 201"
"93257db4-b946-47ed-9828-76af496b0827","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Bathroom Floors"
"61ff4cc1-3639-48bb-ab07-cb79736b1707","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Laundry Floors"
"e5fc8d9b-b3e6-4f41-ae80-2fe0c0cfd111","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Kitchen Floors"
"c843d63a-e3cf-432f-88b7-d1e1cfe98789","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Walls"
"37c5294c-502f-435a-b450-d5826f35a4a1","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Splashback"
"edb1c5b5-e055-4093-b602-7879cf7af274","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 201","Balcony Floor"
"688fd3b2-2565-4ade-a4c1-8fd4389399d9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 202"
"f9eaae58-2d15-4048-b7c9-be0b38c3ff5b","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Bathroom Floors"
"77580ace-bb25-4fa6-ab59-58ee570e7869","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Laundry Floors"
"002e508d-cadc-4f65-9e7f-f006127f95fa","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Kitchen Floors"
"a26eed0e-ac04-41ce-8a40-0efdc94d37d9","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Walls"
"2b392330-d27f-4ee5-a34a-76921dfe60d2","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Splashback"
"4b2c1cd6-147c-49e2-baa5-45c1a4941e7f","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 202","Balcony Floor"
"72483ef7-1635-426b-a9c8-17207e908b3b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 203"
"cf00e546-ada9-4dbb-9798-c59b8ff96252","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Bathroom Floors"
"d29090b7-29cb-437a-817e-e4d03831cffa","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Laundry Floors"
"370d213f-2e84-418f-8dd6-5a45d5305c5f","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Kitchen Floors"
"5945aafb-760e-4a65-a73c-f6eb5cb8ad17","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Walls"
"c44c5ec3-c309-4292-949f-7127b1603cf0","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Splashback"
"5051d422-cb24-4633-b0f1-9db1d9826dfc","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 203","Balcony Floor"
"decc9759-103b-4cba-b7ca-d9c4500e729d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 204"
"f45ee9e0-48a2-4b01-a5e4-4dee2d0a0257","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Bathroom Floors"
"bda02af2-2906-4a39-8ce6-18eaee1c0b8c","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Laundry Floors"
"53095fab-628e-4656-b998-cf56cca83015","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Kitchen Floors"
"e7a2b320-3d3e-48cd-9ec9-7ecf07919e65","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Walls"
"e3b74b60-32bb-411f-a272-90ac97ac31f9","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Splashback"
"7da57fda-902d-47ed-8c5c-d7404b2d60e0","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 204","Balcony Floor"
"86209987-59d8-4558-ab5f-340421275add","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 205"
"ede6aec6-80f2-4874-ac4b-3cb845d81211","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Bathroom Floors"
"baeda98e-5705-48e0-89d4-16837fb09cdc","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Laundry Floors"
"344e5d66-b0cf-4b9a-b58e-a354053f2f9f","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Kitchen Floors"
"31026a98-8120-472e-8c7b-90d32b4a8c5a","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Walls"
"1876f685-c46c-4909-af9c-e0fa8049737c","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Splashback"
"489f3fa2-0be4-4aec-9017-601da7137b16","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 205","Balcony Floor"
"528f1038-59e4-42e3-9cd8-b80230f934f4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 206"
"b71b2805-2aa0-4d42-8ffc-981e0040e576","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Bathroom Floors"
"7c7b0918-9b33-4b3a-9937-f434132a249c","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Laundry Floors"
"09ec68e5-d527-46e9-95c6-b8a449b74baa","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Kitchen Floors"
"1774c809-46a9-49b8-ab12-89662dcf230b","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Walls"
"f4ce0abb-40e2-4e73-a986-b622399e8799","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Splashback"
"f664202f-b821-4f3a-8990-189695b6b8dc","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 206","Balcony Floor"
"5de79d2e-3e89-451f-b53a-9c13b60a391b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 207"
"1207ca55-09dd-4808-9c9f-3f4cc01146fa","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Bathroom Floors"
"86e8f12e-dbbe-45e7-8d7b-6ee7c9bd5bd9","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Laundry Floors"
"f2296d52-8d15-4b9b-93e2-09da39910503","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Kitchen Floors"
"c5959b5f-bdc7-4bf8-a3b4-da39f716220f","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Walls"
"b90deb61-710f-4689-940d-471de74f9618","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Splashback"
"1b469f86-0062-4f70-868c-d458a112069d","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 207","Balcony Floor"
"5ee53f5a-ce4e-408d-9603-7b122c800e10","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 2","Apartment 208"
"7e8e0548-40b1-455b-ae8e-1affcd3406fe","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Bathroom Floors"
"2e18f797-e27d-4e6a-baee-bbc78a154749","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Laundry Floors"
"b3b0b3bc-1b18-4ce1-8b9d-69ff04c2cb11","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Kitchen Floors"
"15631031-a95e-4563-beb0-d6ee77aa71cd","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Walls"
"462b9b32-3669-4cd6-8091-baee5c61a8e9","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Splashback"
"b1c880db-0db6-4117-8172-04bae90625b1","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 2","Apartment 208","Balcony Floor"
"01a1491b-ba9f-4fae-87ae-d8e74070f4ae","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3"
"63210e3f-bdf5-4029-94b6-7d63b8639d72","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3","Apartment 301"
"19cfc621-5deb-4211-8e60-6b65f9b53bdb","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Bathroom Floors"
"23b2a0c5-3554-4451-844b-5f43590fb0e0","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Laundry Floors"
"a47cd950-4cd7-420e-b010-5164bfe2e787","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Kitchen Floors"
"4f52ba9a-f27a-429d-9e25-ba40591649f9","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Walls"
"d5e4604d-40bd-4504-8273-5a9fa38a5cda","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Splashback"
"49921d5b-7d41-4ee1-b15d-2a464df8d4a4","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 301","Balcony Floor"
"8f083446-5f1e-4741-a0d1-ed68c38e5af4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3","Apartment 302"
"c1874b87-6b6f-4b5d-8511-976d3f5aff3f","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Bathroom Floors"
"99c18eb3-83b3-4cfc-965e-9301fe83d361","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Laundry Floors"
"899bd709-27d6-4a51-9fdb-3f85ce362743","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Kitchen Floors"
"170d3427-7a4e-48c6-992c-b19f2f328892","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Walls"
"dd34a34f-698c-4bde-b2a5-646d994b9048","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Splashback"
"65bda366-ce7b-47a1-886b-b4c5340dcb0a","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 302","Balcony Floor"
"a44b85fb-1211-435f-b6e0-b52abf06dee3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3","Apartment 303"
"3b23c3a7-f094-4c77-9975-4ed1f271a47e","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Bathroom Floors"
"2034110a-257e-4efc-b409-5cbe987b192f","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Laundry Floors"
"5669fd31-62c6-49f0-b21e-94dc9850a1f2","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Kitchen Floors"
"cc3231ee-27b5-4c7c-8e09-288ebfde170d","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Walls"
"e33d3e79-2318-469b-9c9e-c29eceb07811","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Splashback"
"42b33548-701f-495a-8b02-fdb6a29e445e","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 303","Balcony Floor"
"a3deb9f4-cd36-42cb-b8f8-4f5b54454b5b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3","Apartment 304"
"8b573114-40a1-4aa0-bbbd-06747c3227d7","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Bathroom Floors"
"6a21e595-eb22-4849-8ada-f8874c90a883","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Laundry Floors"
"d6013317-4f68-4505-b81c-30e635f68a13","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Kitchen Floors"
"515640f0-ba68-4243-90a8-25c97c687d74","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Walls"
"dbc204aa-3c36-41b0-9038-1b7069db24d1","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Splashback"
"d0c66762-c1ad-4851-964e-2c0f4fc6ea25","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 3","Apartment 304","Balcony Floor"
"49c939bb-316c-433e-9ad1-36520d23cdee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 3","Apartment 305"
